timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495181813508,-0.0351,0.0011,0.0699,0.3077,-1.0012,-10.2228,leftright
1495181813558,0.0459,0.0323,0.0384,0.8427,-1.1243,-9.3862,leftright
1495181813608,0.0452,0.1299,0.0552,0.3461,-1.1653,-8.8607,leftright
1495181813659,-0.097,-0.0231,-0.0158,0.3221,-1.0357,-9.8616,leftright
1495181813708,-0.0181,0.0303,-0.0382,0.5015,-1.0661,-9.7013,leftright
1495181813758,-0.0393,-0.0447,0.0024,0.2546,-0.9296,-9.9225,leftright
1495181813808,-0.0014,-0.047,-0.0366,0.3091,-1.2605,-9.3094,leftright
1495181813859,-0.1471,-0.0779,0.077,0.3812,-1.1917,-8.8427,leftright
1495181813909,-0.1544,-0.1088,0.0444,-0.8775,-0.8843,-10.0918,leftright
1495181813958,-0.3583,-0.3422,0.202,-3.6249,0.1513,-9.9843,leftright
1495181814009,-0.2415,-0.1821,-0.2753,-6.5735,1.7869,-11.367,leftright
1495181814059,0.081,-0.1371,-1.376,-3.032,0.5604,-8.7911,leftright
1495181814110,-0.1649,-0.3331,-1.5921,-1.2339,0.0921,-9.0492,leftright
1495181814160,-0.2077,-0.2374,-1.7389,1.9864,-0.3275,-8.9014,leftright
1495181814209,0.0495,0.7233,-1.1299,2.046,-0.2351,-9.7594,leftright
1495181814260,-0.2076,0.4093,-1.3724,4.4374,-0.0599,-6.8752,leftright
1495181814309,-0.4437,0.3528,-0.7901,7.3338,-0.8286,-11.633,leftright
1495181814358,-0.2591,0.1476,0.0953,3.7789,-0.1886,-10.9656,leftright
1495181814409,-0.4224,0.3833,0.4412,1.5285,0.2954,-10.0433,leftright
1495181814458,-0.212,0.6119,0.2979,-0.1211,0.5587,-9.9743,leftright
1495181814508,-0.7245,0.2164,-0.3531,1.3449,0.0049,-12.9121,leftright
1495181814558,-1.2839,0.3299,-0.3747,1.2667,1.1942,-20.4007,leftright
1495181814609,0.6901,-0.333,-0.534,3.9811,2.8326,-22.8102,leftright
1495181814658,2.2433,-0.5371,-0.1588,4.1209,2.9557,-16.854,leftright
1495181814710,2.8251,-1.3247,-0.1973,1.8305,2.7652,-8.6734,leftright
1495181814760,2.8297,-1.0752,-0.3365,-0.9119,1.4509,0.1944,leftright
1495181814808,0.7517,-0.5743,-0.3308,-3.5448,-0.8682,1.5389,leftright
