timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495182168290,-0.4293,-0.4859,-0.137,0.6952,-1.2788,-10.0788,leftright
1495182168333,0.0116,0.0505,0.1071,-0.4963,-0.9107,-9.9474,leftright
1495182168383,-0.0252,-0.2974,-0.2095,0.7465,-1.3536,-8.9677,leftright
1495182168433,-0.1221,-0.1146,0.0975,0.4995,-0.9412,-10.0014,leftright
1495182168484,-0.0558,-0.2666,-0.036,-0.1926,-0.9121,-9.6222,leftright
1495182168533,-0.0585,-0.1922,-0.1182,-0.3436,-0.9886,-9.695,leftright
1495182168583,0.0609,-0.0155,0.0127,0.0605,-0.8768,-9.6371,leftright
1495182168633,-0.0529,-0.1036,0.0124,-0.3558,-1.0404,-9.6214,leftright
1495182168684,-0.0322,-0.0508,0.0024,-0.1195,-1.1119,-9.3611,leftright
1495182168733,-0.1695,-0.074,0.0427,-1.0127,-0.7669,-9.8812,leftright
1495182168783,-0.0451,-0.104,-0.0733,-0.5759,-0.6249,-9.7851,leftright
1495182168833,0.0228,-0.1511,-0.1914,-0.554,-0.4608,-10.1929,leftright
1495182168885,-0.0984,0.0772,-0.351,1.9016,-1.225,-9.1674,leftright
1495182168933,-0.1315,0.0545,0.1314,3.8193,-1.4,-9.3929,leftright
1495182168983,-0.6232,-0.4077,0.1996,5.6446,-0.91,-10.2371,leftright
1495182169036,-0.4935,0.5056,0.8034,7.7115,0.1192,-11.3677,leftright
1495182169084,-0.2463,-0.5677,1.3911,7.6558,0.771,-9.4844,leftright
1495182169134,-0.419,0.238,2.2013,5.4735,2.5513,-11.7253,leftright
1495182169190,0.3486,-0.1697,2.9545,-0.9668,3.8869,-9.3017,leftright
1495182169235,0.1745,0.8581,2.8746,-10.4866,5.0989,-7.7626,leftright
1495182169283,-0.707,0.6555,0.4943,-7.3948,2.4259,-9.187,leftright
1495182169333,-0.5881,0.586,0.2767,-4.4191,1.582,-13.1913,leftright
1495182169383,-0.292,-0.1952,-0.0093,-2.3514,0.5094,-12.2131,leftright
1495182169434,0.1293,0.3492,-0.1475,-3.2145,0.4828,-14.1683,leftright
1495182169484,0.0692,0.0805,-0.424,-1.9548,-0.143,-17.3338,leftright
1495182169533,0.9266,0.2562,-0.7885,-2.5391,0.131,-18.4678,leftright
1495182169583,1.538,-0.1198,-1.1162,-1.9494,0.0124,-20.0903,leftright
1495182169633,1.974,-0.6776,-0.5591,-0.7373,1.296,-12.6645,leftright
1495182169684,3.0136,-0.7293,-1.4514,-1.5214,2.6662,-10.6656,leftright
1495182169734,3.0986,-0.2276,-0.8786,5.0513,0.6114,0.1059,leftright
1495182169784,1.7791,-0.4976,-0.5925,1.6074,1.2618,1.4872,leftright
1495182169833,0.7748,-0.1419,-0.737,5.081,-0.0209,0.5926,leftright
1495182169883,0.1456,-0.3906,-0.5426,2.0439,-2.3776,-0.8504,leftright
1495182169935,-0.2966,0.0106,-0.2434,1.3572,-4.347,-5.445,leftright
1495182169983,-0.4165,-0.2377,-0.2155,0.0874,-4.0708,-6.7166,leftright
1495182170033,-0.3916,-0.7618,0.4178,-7.429,-0.8756,-3.8252,leftright
1495182170084,-1.0384,-0.7103,-0.9998,-5.9617,0.549,-1.9656,leftright
1495182170134,-2.0017,-1.7273,-1.0928,-2.6353,-0.951,-3.0226,leftright
1495182170183,-2.2929,-1.2794,-1.3272,-3.2537,0.5308,-4.5627,leftright
1495182170235,-2.9691,-0.524,-1.7318,4.3848,1.3741,-9.6948,leftright
1495182170283,-2.578,-0.0737,-0.6478,2.831,1.2519,-12.9168,leftright
1495182170334,-2.7628,0.0525,-0.2813,3.8409,3.5759,-18.8907,leftright
1495182170383,-0.7365,0.225,-0.2159,0.5906,4.3664,-27.0785,leftright
1495182170434,0.4995,0.1436,-0.7111,-0.4128,2.0282,-16.2813,leftright
1495182170483,0.6766,0.3577,-0.4473,-0.0583,0.4259,-10.8744,leftright
1495182170534,0.383,-0.0854,-0.232,1.0962,0.6405,-8.523,leftright
1495182170584,0.1828,0.2644,0.0074,5.1255,2.3553,-11.3862,leftright
1495182170634,0.6137,-0.2181,0.2536,4.9805,2.2134,-10.5157,leftright
1495182170684,0.5294,-0.3996,0.7233,7.0285,2.5261,-9.9659,leftright
1495182170734,0.3179,-0.3542,1.4592,7.3774,2.8381,-11.3464,leftright
1495182170784,1.0325,-0.236,2.4314,3.6437,3.7847,-9.5698,leftright
1495182170833,0.6856,1.0043,3.2057,-1.3339,4.1943,-7.1634,leftright
1495182170883,0.2144,0.9826,2.4841,-9.9645,4.485,-9.6234,leftright
1495182170934,0.1631,1.4821,1.7225,-11.7521,2.9593,-8.1458,leftright
1495182170983,-0.3712,0.6425,0.8968,-10.053,2.0991,-12.0266,leftright
1495182171034,0.0402,0.2307,0.2281,-5.0334,0.5855,-8.8767,leftright
1495182171084,-0.2021,0.2542,-0.3023,-2.1631,0.1294,-9.5161,leftright
1495182171133,-0.1133,-0.0211,-0.2245,0.0304,-0.2673,-9.5718,leftright
1495182171184,-0.3891,-0.0213,-0.3906,1.7124,-0.0854,-11.2469,leftright
1495182171234,-0.6475,0.118,-0.1462,0.6581,-0.0641,-13.6707,leftright
1495182171287,-0.4237,0.2274,-0.1231,1.0514,0.3723,-20.8195,leftright
1495182171333,1.189,-0.1727,-0.3043,-0.5403,1.4942,-22.6744,leftright
1495182171383,2.5824,-0.3558,-0.27,-0.5714,0.0224,-15.644,leftright
1495182171434,2.6913,-0.2594,-0.5762,-2.1903,-0.3565,-12.748,leftright
1495182171484,3.418,0.7959,-0.5447,0.6359,1.0397,-8.5759,leftright
1495182171533,2.6096,-0.0691,0.207,1.2246,2.4971,-2.5641,leftright
1495182171584,2.1604,0.6775,-0.4323,0.7843,0.2572,4.1125,leftright
1495182171634,0.6725,0.1413,-0.5283,0.5497,-1.7991,0.9978,leftright
1495182171684,-0.0469,0.163,-0.6402,2.0971,-3.4541,0.6451,leftright
1495182171734,-0.7074,0.1748,-0.6185,2.5334,-4.7431,-5.1503,leftright
1495182171784,-0.9183,0.2511,-0.6186,5.5665,-5.1806,-8.8818,leftright
1495182171834,-0.4897,-0.026,0.0463,2.5841,-3.6514,-9.0276,leftright
1495182171884,-0.6653,-0.4774,0.3654,-3.6666,-0.7441,-3.3242,leftright
1495182171934,-1.3965,-1.1945,-0.5784,-7.3047,1.5377,-2.072,leftright
1495182171984,-1.4836,-1.1483,-0.395,-8.0064,2.9505,-4.3778,leftright
1495182172034,-2.8731,-1.8546,-2.3707,0.6257,2.2902,-7.5371,leftright
1495182172085,-3.5999,-0.5526,-2.351,0.9395,3.7739,-15.4613,leftright
1495182172134,-3.5372,-0.7845,-2.774,7.5156,5.0957,-23.8527,leftright
1495182172184,-1.1808,-0.684,-1.167,7.3676,1.4032,-24.0238,leftright
1495182172234,0.4241,-0.2935,-0.7806,5.7781,0.8506,-16.0646,leftright
