timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496234898056,-0.8111,-0.6563,0.5338,-1.3891,-0.8166,-15.353,updown
1496234898106,0.4078,-0.0934,0.3429,0.3143,-2.2717,-12.3286,updown
1496234898156,-0.3391,1.1318,0.3043,-1.9918,-1.4724,-22.8839,updown
1496234898206,2.128,0.0159,-0.5695,2.0513,2.0793,-25.313,updown
1496234898256,4.1295,0.5073,-0.169,-3.9016,3.5531,-16.397,updown
1496234898307,3.9277,-0.9062,-0.6438,-3.0811,3.1003,-5.4032,updown
1496234898357,3.963,1.4834,-0.6595,0.5303,2.2864,5.099,updown
1496234898406,2.4108,0.4025,-0.5064,2.6764,-0.7921,10.0404,updown
1496234898456,-0.7678,0.4844,-0.2028,0.1431,-3.7827,11.0728,updown
1496234898507,-2.3729,-2.1871,-0.1155,0.6256,-0.8267,5.7956,updown
1496234898558,-3.716,-1.545,0.2081,-0.6365,0.5241,8.1395,updown
1496234898606,-5.0307,-2.6177,-0.009,-3.9512,6.8446,-6.1056,updown
1496234898656,-5.2007,-1.8701,0.4386,-9.2171,9.337,-13.4202,updown
1496234898706,-4.599,-1.4051,-0.0999,-5.8783,11.2516,-18.4749,updown
1496234898757,-3.4279,-2.1869,0.2017,-11.3075,11.2712,-32.3961,updown
1496234898806,-0.6077,1.072,0.4875,-6.3453,6.8029,-29.2616,updown
1496234898856,1.4715,0.7466,0.6127,-9.1853,2.1694,-20.8242,updown
1496234898906,1.5173,0.9526,-0.4408,-7.1997,6.6503,-27.0627,updown
1496234898957,4.1542,2.3056,-0.1383,-6.0827,9.3314,-18.8815,updown
1496234899006,5.7529,1.1222,-0.8576,-3.9108,9.1194,-5.0963,updown
1496234899061,4.3162,1.2372,-0.286,-1.1322,5.8263,2.2925,updown
1496234899106,2.8286,1.0117,-0.0885,1.9291,2.1816,5.5952,updown
1496234899157,1.6031,0.2389,0.1387,1.6672,-2.1632,7.5377,updown
1496234899206,0.3907,-0.0356,0.111,1.4024,-2.9621,8.596,updown
1496234899256,-2.1622,0.6277,0.3009,0.8016,-2.3187,4.906,updown
1496234899306,-3.541,-0.1099,-0.1539,-1.4799,-0.6178,5.3033,updown
1496234899356,-3.9405,-1.5016,-0.2076,-1.3905,4.235,-2.7871,updown
1496234899406,-5.2739,-0.1689,0.03,-4.1861,7.3711,-6.7836,updown
1496234899456,-4.2788,-3.1225,-0.8285,-3.488,12.7746,-19.3394,updown
1496234899506,-4.038,-0.7396,-0.2614,-6.8711,12.149,-23.8876,updown
1496234899556,-1.6094,0.1464,0.0695,-1.5178,9.82,-28.6976,updown
1496234899607,1.1393,0.0874,0.177,-4.7885,5.8581,-29.2603,updown
1496234899656,2.946,1.2887,-0.0948,-5.2413,11.5386,-29.7583,updown
1496234899708,5.3084,2.5833,0.2578,-4.5791,15.1167,-24.1869,updown
1496234899757,7.2223,1.2821,0.147,-4.0755,15.4132,-7.188,updown
1496234899807,6.9625,0.2933,-0.0275,-1.1802,11.1757,3.0516,updown
1496234899857,4.3168,0.057,-0.2336,0.6198,3.5188,12.0135,updown
1496234899907,1.8759,0.5488,0.1374,2.2217,-1.8652,11.5874,updown
