timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496233951806,0.3197,0.1248,0.2625,1.9244,-0.2908,-8.9141,updown
1496233951856,-0.2549,-0.2637,0.2233,1.1793,-1.5974,-9.9963,updown
1496233951906,-0.1272,0.35,0.312,-0.0734,-2.3741,-12.0847,updown
1496233951956,-0.443,-0.3707,0.7255,1.1886,-2.2451,-13.3028,updown
1496233952008,-0.1337,-0.3532,0.7506,-3.1344,-2.0211,-15.0973,updown
1496233952056,-0.3966,-0.5952,-0.016,-2.5982,-1.1615,-21.3641,updown
1496233952107,2.4002,0.1862,-0.6145,-0.6122,0.4167,-13.6419,updown
1496233952156,2.1633,-0.2439,-0.5251,1.2728,0.6367,-9.6878,updown
1496233952206,3.1357,-0.7668,-0.1047,1.0885,-0.4703,-4.2721,updown
1496233952256,2.3667,-0.6621,-0.1754,0.2955,-1.7754,5.1116,updown
1496233952306,0.216,-0.5656,0.1018,0.4898,-2.4738,4.6996,updown
1496233952356,-0.8941,0.5323,0.1813,-1.2633,-2.1562,6.2303,updown
1496233952407,-2.0913,0.6187,0.0627,0.149,-1.1605,3.7494,updown
1496233952456,-3.7216,1.5756,0.2426,0.991,1.6085,-4.0724,updown
1496233952506,-4.071,1.9635,0.1498,3.8479,4.3069,-9.6871,updown
1496233952557,-4.1329,1.7536,0.1451,3.5726,5.6105,-17.3014,updown
1496233952606,-3.3916,1.1482,-0.2706,4.5578,5.9349,-21.6413,updown
1496233952656,-1.6859,-0.3748,-0.1411,4.1839,5.5255,-27.7369,updown
1496233952706,1.5239,-0.877,-0.3488,3.5463,4.856,-19.823,updown
1496233952761,2.2819,-1.363,-0.3376,2.1585,6.0639,-18.3232,updown
1496233952806,3.2532,-1.5614,-0.4747,2.1061,5.7722,-13.4476,updown
1496233952856,3.7388,-1.2606,-0.5305,1.0714,3.9483,-6.8568,updown
1496233952907,3.3963,-1.1134,-0.3327,1.7516,1.6508,-1.4943,updown
1496233952956,2.3161,-0.7661,-0.257,-0.4571,-1.0896,1.7307,updown
1496233953007,1.1048,-0.3019,-0.328,0.317,-2.5412,3.709,updown
1496233953056,-0.388,0.1946,0.0898,-0.3834,-2.7514,2.3435,updown
1496233953106,-1.5101,0.7556,0.0552,-0.2482,-2.1448,0.6613,updown
1496233953156,-2.2948,1.0096,0.1246,0.0597,-0.4911,-3.4286,updown
1496233953206,-2.5956,1.2854,0.0453,1.496,0.8641,-7.4906,updown
1496233953256,-2.7218,1.4273,0.3199,2.1013,2.5811,-10.5672,updown
1496233953306,-2.751,0.7339,0.1221,3.1072,3.7803,-14.5775,updown
1496233953356,-1.846,0.4416,0.2892,1.921,3.7288,-20.4006,updown
1496233953407,-1.2925,-0.2605,0.0865,1.5217,3.7862,-21.9665,updown
1496233953456,0.6815,-0.4587,-0.1714,1.9275,2.8431,-20.7559,updown
1496233953506,1.9518,-0.872,-0.3142,1.2614,3.3024,-18.5603,updown
1496233953556,2.8401,-0.7172,-0.293,0.531,3.6473,-14.9384,updown
1496233953606,3.2406,-0.9703,-0.5088,1.3919,3.1425,-10.2022,updown
1496233953656,3.4901,-0.5354,-0.2076,1.1238,1.3668,-4.4943,updown
1496233953706,2.4897,-0.933,-0.3238,1.0219,-1.2537,1.5613,updown
1496233953761,1.1478,-0.3879,0.037,1.0513,-2.7917,3.4661,updown
1496233953806,0.1,-0.474,0.0981,-0.8716,-3.124,2.1669,updown
1496233953856,-0.9039,0.3378,0.0065,0.1849,-2.7174,1.4345,updown
1496233953906,-2.1783,0.4982,0.0502,-0.7244,-1.4675,-4.4184,updown
1496233953956,-2.1747,0.9238,-0.228,1.5848,-0.4447,-6.5574,updown
1496233954006,-2.4297,1.3225,0.1995,1.4785,0.6596,-9.4758,updown
1496233954057,-2.953,0.5872,0.1457,2.0842,2.5871,-16.1195,updown
1496233954106,-1.8665,0.7863,0.1205,1.4683,2.5938,-15.7622,updown
1496233954156,-1.3806,0.1163,0.3511,4.0237,2.7486,-20.8256,updown
1496233954207,0.7707,-0.4893,0.022,-0.5081,1.9506,-22.4383,updown
1496233954256,1.3367,-0.6679,-0.2212,2.6351,1.3753,-16.5564,updown
1496233954306,1.5768,-0.7766,0.0248,1.1793,1.7463,-16.0423,updown
1496233954356,2.5484,-1.0552,-0.1603,1.7137,2.1406,-11.6588,updown
1496233954406,2.9564,-0.8505,-0.088,0.9771,1.1345,-5.8494,updown
1496233954456,2.7666,-0.5661,-0.1475,0.59,-0.3464,-1.5387,updown
1496233954506,1.2917,-0.2616,-0.033,0.0285,-2.0251,3.4567,updown
1496233954556,-0.0223,-0.2936,-0.0534,-0.6439,-2.2782,0.4089,updown
1496233954607,-0.9028,0.6133,-0.031,-0.5387,-2.5878,1.9837,updown
1496233954656,-2.694,0.3213,-0.09,-0.2252,-0.8256,-3.0737,updown
1496233954706,-2.2266,1.3667,-0.1007,1.523,-0.4768,-5.5974,updown
1496233954759,-3.3598,0.9832,0.3026,1.8727,2.3004,-11.8048,updown
1496233954808,-2.6344,0.4678,-0.0444,1.5077,3.3996,-17.1873,updown
1496233954856,-1.5962,0.6679,0.1609,1.6307,2.4343,-15.3866,updown
1496233954906,-0.792,0.1158,0.023,2.1675,3.054,-21.9319,updown
1496233954956,0.113,-0.1097,0.0569,1.7871,3.299,-21.6031,updown
1496233955006,1.9134,-0.9922,-0.3451,2.0133,3.4171,-17.3573,updown
1496233955057,2.9278,-1.0814,-0.2222,0.8255,3.7999,-13.5532,updown
1496233955106,3.1782,-0.9692,-0.3443,2.0673,1.5189,-5.7353,updown
1496233955156,3.0135,-0.524,0.0141,-0.1006,0.0087,-0.6099,updown
1496233955206,1.6421,-0.5595,-0.202,0.3537,-2.1311,2.953,updown
1496233955256,0.1207,0.0929,0.1232,-0.3902,-2.5631,1.6854,updown
1496233955307,-0.4387,0.2869,0.0299,-0.5988,-2.4653,0.071,updown
1496233955356,-1.0948,0.7542,0.0563,0.1008,-1.665,-1.4488,updown
1496233955406,-2.2343,0.6054,-0.2247,0.0891,0.3561,-5.4194,updown
1496233955456,-2.3892,1.2184,-0.0872,1.6118,0.4871,-9.9492,updown
1496233955507,-2.4352,1.2594,0.1913,2.7652,2.0173,-14.3835,updown
1496233955556,-2.1535,0.1392,0.0968,3.1951,2.7288,-18.9753,updown
1496233955606,-0.9876,-0.0914,0.242,2.7899,1.6122,-21.2289,updown
1496233955656,0.5578,-0.2594,0.1641,1.6759,1.0116,-19.0007,updown
1496233955706,1.3996,-0.4847,0.1903,2.3163,2.4892,-19.9953,updown
1496233955761,2.7109,-1.1283,-0.057,0.3204,3.4611,-16.5223,updown
1496233955806,3.6939,-1.1272,-0.2227,1.9556,1.5741,-5.1417,updown
1496233955856,3.2948,-0.8149,-0.0496,1.1812,-0.0788,-0.4809,updown
1496233955906,1.7026,-0.6875,-0.0464,0.3104,-1.6906,2.5453,updown
1496233955956,0.139,-0.4981,-0.0272,-0.1066,-2.5017,2.8905,updown
1496233956007,-0.9545,0.5204,0.208,-1.0018,-2.1895,0.9426,updown
