timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493740781243,-0.2293,-0.1937,0.0646,0.6395,-1.0607,-9.1805,updown
1493740781297,-0.3783,-0.168,0.101,0.5516,-1.4159,-10.6269,updown
1493740781343,-0.2713,0.2659,0.0888,1.4238,-2.2148,-12.8528,updown
1493740781393,-0.0226,-0.5313,0.4575,0.8122,-0.8653,-20.2792,updown
1493740781443,3.3017,-0.6911,0.2088,0.6252,1.6742,-20.5381,updown
1493740781494,4.6179,-1.5215,0.0479,-1.0663,2.0853,-15.0497,updown
1493740781543,5.51,-0.5687,-0.5414,-0.7939,1.48,-5.6628,updown
1493740781593,5.3098,-0.1108,-0.6168,-0.7759,-0.4157,1.5299,updown
1493740781643,1.5515,-0.5046,-0.0454,0.5253,-3.7223,9.4915,updown
1493740781693,-1.2582,-0.8127,0.2872,-2.3737,-3.314,5.4628,updown
1493740781743,-2.4948,0.7709,-0.1287,-0.3025,-2.9746,2.6218,updown
1493740781793,-4.3797,0.8599,0.215,0.6408,-0.7575,-2.6301,updown
1493740781844,-5.0497,1.0196,0.1223,-0.2666,1.1564,-10.591,updown
1493740781893,-4.7594,1.5394,-0.1506,1.3736,2.1149,-16.4039,updown
1493740781943,-3.0595,1.4744,-0.31,4.2995,1.1545,-23.7873,updown
1493740781993,-0.9521,-0.0034,-0.0124,2.6161,0.5103,-25.8088,updown
1493740782043,1.5275,-0.5541,0.0275,3.2569,0.5106,-21.1258,updown
1493740782093,3.8816,-1.0016,0.5229,1.7697,3.0137,-18.0222,updown
1493740782144,5.5345,-1.2017,0.6053,0.3552,3.6431,-9.1944,updown
1493740782193,5.3406,-0.7098,0.225,-0.6146,2.2146,-3.9102,updown
1493740782243,4.8402,-0.5797,0.1008,-1.4917,-0.1709,2.4545,updown
1493740782293,2.7061,-0.465,-0.2772,-0.7653,-3.2668,7.4775,updown
1493740782343,0.0295,-0.3635,-0.0569,-1.8239,-4.032,7.1038,updown
1493740782393,-2.0047,0.257,-0.3118,-0.53,-3.7219,4.1751,updown
1493740782444,-3.3522,0.1571,-0.2913,-1.5092,-2.5471,2.0424,updown
1493740782493,-5.1722,1.2674,-0.3596,3.0428,-0.5684,-5.5037,updown
1493740782544,-6.2831,1.5018,-0.2325,0.5881,4.3156,-12.4823,updown
1493740782593,-5.1829,0.6932,-0.3906,5.1334,3.839,-28.8769,updown
1493740782645,-0.9212,0.1093,0.0042,1.7952,1.6481,-25.6394,updown
