timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490703113697,-0.1085,-0.1261,-0.1833,0.7477,-1.1095,-9.5203,updown
1490703113747,-0.1874,-0.0304,-0.0793,0.5812,-1.2188,-9.781,updown
1490703113797,-0.0098,-0.1428,-0.0059,0.2735,-1.2037,-9.7476,updown
1490703113847,-0.1736,-0.3048,-0.0397,0.514,-1.1217,-9.3236,updown
1490703113903,-0.0084,-0.0565,-0.0837,0.4522,-1.0632,-9.7588,updown
1490703113947,-0.0894,-0.3229,-0.0958,0.3297,-0.9679,-9.5337,updown
1490703113997,-0.1627,0.1104,0.102,-1.0634,-1.2126,-9.0987,updown
1490703114047,-0.3072,-0.0855,-0.1759,-0.1101,-0.9896,-8.95,updown
1490703114097,-0.8576,0.2352,-0.375,0.0477,-0.4559,-7.9931,updown
1490703114147,-0.7545,0.2308,-0.4331,-0.8603,-0.5423,-7.8206,updown
1490703114197,-1.4129,0.999,-0.576,1.6822,-0.273,-7.1014,updown
1490703114247,-1.2794,-0.1224,-0.4204,1.0777,-5.0416,-27.0485,updown
1490703114297,4.3726,-0.9235,0.075,4.6366,4.9518,-50.8062,updown
1490703114347,6.7745,0.1684,0.4533,-2.5001,5.4108,-17.9555,updown
1490703114398,5.8612,1.0507,-0.4785,-4.7238,10.6795,-4.7319,updown
1490703114448,3.4417,1.4025,-0.6694,-1.532,9.3354,8.9608,updown
1490703114498,0.5206,0.2702,-0.4356,-2.0682,6.7524,26.7666,updown
1490703114548,-3.0021,-0.6587,-0.744,0.7015,10.3818,22.0054,updown
1490703114598,-4.6826,-2.9388,0.0799,-5.3278,12.8873,12.0847,updown
1490703114651,-6.2935,-1.1351,0.1819,-2.4879,16.0314,-2.4722,updown
1490703114697,-6.6365,-3.5199,-0.7434,-3.8877,20.6886,-35.7412,updown
1490703114747,-2.3981,-0.5726,0.2738,0.0313,8.2033,-57.2142,updown
1490703114797,1.6282,-1.3547,1.1541,-0.884,-4.0154,-54.8168,updown
1490703114847,4.4802,1.3156,0.3342,-10.6184,1.7015,-48.0776,updown
1490703114897,8.0305,2.4041,0.0134,-10.2077,15.6893,-25.9276,updown
1490703114948,8.728,0.401,-1.4875,-7.9227,16.5315,0.5687,updown
1490703114998,5.1844,2.5677,-1.0139,-1.6962,15.5249,11.401,updown
1490703115047,2.6795,1.9019,-0.6945,-0.3992,12.5707,25.8831,updown
1490703115097,-1.2695,-0.6174,-0.9387,2.9798,13.2676,20.3647,updown
1490703115147,-4.7539,-2.3561,0.3932,-0.8275,13.2134,15.5699,updown
1490703115197,-7.0675,-1.818,0.7155,-3.5627,16.806,2.1479,updown
1490703115247,-7.7535,-2.012,0.1882,-6.6178,19.1703,-18.4666,updown
1490703115297,-6.4246,-1.2861,0.5671,-4.6272,12.9541,-32.4457,updown
1490703115349,-4.1561,-2.1103,0.4783,-3.6782,4.4359,-42.6809,updown
1490703115397,0.2299,-1.1248,0.6024,-4.8323,-4.0143,-53.8933,updown
1490703115447,4.6467,0.7047,-0.6956,-12.7451,-3.1973,-54.1586,updown
1490703115497,7.3711,1.9682,-1.0365,-8.3845,15.524,-38.2829,updown
1490703115548,8.4319,1.3808,-1.0612,-10.1469,21.0724,-10.5041,updown
1490703115597,6.7062,0.7213,-1.8092,-2.1198,19.0247,1.4374,updown
1490703115648,4.4255,2.8361,-1.5093,0.9284,16.0443,27.5535,updown
1490703115697,1.3071,1.6035,-0.9557,2.331,14.356,35.1145,updown
1490703115748,-2.6203,-0.3947,0.1329,3.7804,13.3103,16.4874,updown
1490703115797,-4.2294,-1.9938,1.2194,-2.8374,12.7347,7.2448,updown
1490703115847,-6.2823,-1.2882,1.2097,-7.6976,14.9973,0.8267,updown
1490703115898,-9.0728,0.0735,-0.1678,-8.0564,19.5987,-14.3768,updown
1490703115947,-6.0797,-2.243,-0.9937,-5.3382,14.1551,-40.1827,updown
1490703115997,-3.4773,-1.1142,-0.2906,-0.5524,5.4273,-56.0734,updown
1490703116048,3.4205,-0.3157,0.7693,1.0713,0.2865,-60.486,updown
1490703116098,6.1167,2.0983,0.1062,-6.7543,16.997,-45.9693,updown
1490703116149,8.689,2.563,0.2203,-9.1861,22.8864,-22.5487,updown
1490703116197,7.9562,-0.1785,-1.364,-10.0953,19.5161,-1.3385,updown
1490703116247,4.0852,3.1557,-0.7602,-0.7033,18.9477,17.5723,updown
1490703116298,3.058,1.1957,-0.4569,0.4163,12.4662,25.2561,updown
1490703116348,-0.9792,0.5267,0.0395,-0.2903,8.513,23.2249,updown
1490703116397,-3.3626,-0.8779,0.2107,-2.5893,7.9412,12.3293,updown
1490703116448,-6.0071,-2.2696,0.4636,-7.2976,13.5032,2.3843,updown
1490703116497,-8.9789,-1.1461,-0.2135,-5.7547,19.1495,-19.8302,updown
1490703116547,-5.9658,-2.1991,0.3716,-5.5596,10.9477,-34.4505,updown
1490703116597,-4.8822,-1.6097,0.0704,-3.0977,6.2966,-44.5824,updown
1490703116648,-1.2568,-0.7429,-0.0539,2.2441,0.2948,-53.6344,updown
1490703116697,3.6441,-0.3766,0.6859,-7.0439,2.7214,-57.5967,updown
1490703116748,7.7095,2.7838,-0.4714,-9.2732,16.7243,-36.2395,updown
1490703116797,7.109,0.6846,-0.6659,-5.8216,18.3539,-2.9681,updown
1490703116847,6.562,1.6363,-1.4535,-4.7271,18.8434,2.8265,updown
1490703116897,3.507,1.2047,-0.5064,-0.3689,14.8134,13.4674,updown
1490703116947,0.4967,0.3667,-0.0882,1.759,7.8001,18.762,updown
1490703116997,-1.126,-0.4251,0.1175,3.1497,6.8507,18.5329,updown
1490703117047,-4.2005,-0.6984,0.6204,-1.6211,7.301,14.6999,updown
1490703117097,-6.0681,-2.1953,0.6457,-2.7952,12.529,5.5618,updown
1490703117147,-9.4165,0.1959,0.4254,-5.4143,17.9416,-10.1148,updown
1490703117198,-6.8107,-4.013,-0.1526,-8.8261,16.8443,-33.9289,updown
1490703117248,-5.0098,-1.4293,0.0792,-6.7187,9.8648,-52.0684,updown
1490703117297,0.564,-1.903,0.0368,-4.2874,3.8494,-67.121,updown
1490703117348,5.8459,1.3228,0.0488,-11.2677,8.2526,-40.4952,updown
1490703117399,7.8716,1.239,-0.7701,-13.6886,16.7087,-29.3361,updown
1490703117450,8.4951,1.86,-1.2143,-5.5036,20.9969,-3.4291,updown
1490703117498,6.1715,1.3722,-1.6302,-4.5823,16.1888,4.3073,updown
1490703117547,2.9803,2.394,-1.0876,0.9496,13.4394,16.2837,updown
1490703117597,0.0885,0.2685,-0.7467,1.0318,8.7026,28.3087,updown
1490703117647,-3.5501,0.1749,-0.0797,3.3794,8.6799,21.1002,updown
1490703117700,-5.9363,-2.7897,0.1635,-3.5653,11.7268,14.9868,updown
1490703117748,-7.2224,-3.4938,1.1224,-9.1833,19.3035,0.2606,updown
1490703117797,-10.2435,-0.7424,0.6266,-7.4415,24.5253,-26.7976,updown
1490703117848,-4.905,-3.7505,0.5609,-12.8847,13.8937,-28.5809,updown
1490703117897,-3.486,-0.3682,0.1996,-4.9637,5.6179,-46.744,updown
1490703117948,0.3816,-0.1301,0.1961,-1.8658,2.6635,-49.0555,updown
1490703117997,4.689,0.9156,0.704,-5.7103,7.2348,-40.4684,updown
1490703118048,7.164,2.8764,0.1224,-7.3225,16.8455,-31.0396,updown
1490703118098,9.6333,-1.8126,-0.3574,-11.534,13.3738,-5.5625,updown
1490703118147,5.6566,2.2736,-1.3866,-1.3858,14.6422,1.7218,updown
1490703118197,4.2686,1.6197,-1.2795,-3.2316,10.457,3.0737,updown
1490703118247,2.113,-0.2009,-0.0271,4.027,7.0982,20.7355,updown
1490703118297,-2.3946,1.2646,0.0787,0.2371,2.6821,24.7233,updown
1490703118347,-5.0108,-2.8123,0.1077,0.3023,9.0065,12.0447,updown
1490703118398,-5.8589,-2.0952,1.463,-1.7412,12.4671,4.0394,updown
1490703118447,-8.3731,-0.2264,1.0592,-5.3054,18.5798,-3.5164,updown
1490703118498,-8.6091,-0.4091,0.6344,-9.1031,21.8701,-19.3538,updown
1490703118547,-6.02,-1.64,-0.0314,-3.0505,21.4876,-39.2584,updown
1490703118597,-3.565,-0.914,-0.0605,-1.0073,6.3192,-35.9994,updown
1490703118647,-0.0887,-4.3447,1.6148,-11.1001,0.7576,-73.2343,updown
1490703118697,5.5061,3.7309,-0.6951,-11.7612,16.5452,-44.1151,updown
1490703118747,9.5854,1.6355,-0.4955,-10.6699,29.5455,-23.4206,updown
1490703118797,10.0216,0.6647,-1.2174,-6.2922,26.2999,2.261,updown
1490703118847,8.3582,-0.0884,-1.9399,-8.0882,19.6891,2.8353,updown
1490703118897,4.8176,1.6182,-1.7169,3.494,14.6644,20.5673,updown
1490703118947,0.6476,1.085,-0.8983,5.2831,7.9825,33.5087,updown
1490703118998,-3.1264,-1.2033,-0.42,2.0942,9.1957,16.8665,updown
1490703119047,-4.4584,-1.9964,0.7217,0.0997,11.6529,7.9535,updown
1490703119098,-6.2962,-1.6211,1.4885,-5.46,13.955,-1.3396,updown
1490703119147,-7.7019,-1.8409,0.4556,-8.8918,15.9767,-9.7715,updown
1490703119198,-7.0287,-0.3611,-0.1555,-6.3045,15.3194,-34.945,updown
1490703119248,-3.0426,-2.0935,-0.7939,-3.6049,7.9283,-44.5118,updown
1490703119298,0.7436,0.5812,0.6719,4.5378,3.9946,-53.4143,updown
1490703119347,4.1807,-0.254,1.0844,-6.0725,3.8654,-43.0767,updown
1490703119397,7.1427,1.8753,0.7369,-6.7199,15.048,-29.3031,updown
1490703119447,9.7706,-1.718,-0.966,-8.533,16.8751,-8.904,updown
1490703119497,5.6217,3.8405,-1.3632,-3.2499,14.1334,3.7074,updown
1490703119550,5.6056,0.5522,-0.9883,-4.8711,9.551,3.8065,updown
1490703119597,2.0505,1.2479,-0.5723,4.0892,5.2448,20.2652,updown
1490703119648,-1.3199,-0.042,0.0911,1.9062,4.4674,28.842,updown
1490703119697,-5.0971,-2.3714,0.0956,-0.0422,9.0091,18.0663,updown
1490703119747,-5.6876,-3.5321,1.7143,-0.9597,14.8084,4.0063,updown
1490703119798,-9.4867,-0.6768,0.4909,-14.6936,17.5726,2.5926,updown
1490703119847,-9.4769,-1.5835,0.0086,-7.0358,24.5945,-32.2132,updown
1490703119897,-5.9536,-2.7407,0.1794,-10.6491,15.3846,-41.4703,updown
1490703119947,-0.8112,0.1931,0.114,-0.6845,4.5303,-50.585,updown
1490703119998,2.4474,0.3474,0.6581,-4.0096,-0.7687,-46.9185,updown
1490703120048,6.2628,3.9665,-0.2434,-2.9096,20.8793,-45.5413,updown
1490703120098,10.7018,1.0603,0.5674,-9.7038,22.2889,-6.4881,updown
1490703120152,7.7346,1.947,-1.0937,-6.1925,18.5368,5.051,updown
1490703120201,5.2333,3.3907,-0.544,-2.4349,17.2303,7.8944,updown
1490703120247,3.5878,0.7681,-0.1019,1.6523,10.1493,24.0052,updown
1490703120297,-0.3758,-0.3773,-0.2372,-0.5541,6.8427,23.2673,updown
1490703120347,-4.2791,-1.8145,0.31,-1.8707,10.7247,16.1697,updown
1490703120398,-6.7293,-2.8478,0.5084,-5.1596,15.956,2.4516,updown
1490703120448,-8.745,-2.5693,0.6071,-9.7288,20.9485,1.3609,updown
1490703120497,-7.9735,-1.1533,0.1523,-7.1203,22.8843,-36.0029,updown
1490703120547,-5.1642,-1.9254,-0.1902,-7.0256,13.5315,-47.3283,updown
