timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496246603142,-0.5301,-0.2556,0.6565,1.993,-2.2973,-9.76,updown
1496246603192,-1.031,-1.0901,0.3714,0.2117,-1.3722,-6.8694,updown
1496246603242,-1.5403,-0.0555,0.3887,-1.1181,-0.222,-8.316,updown
1496246603292,-1.4768,-0.4735,-0.2088,-1.1518,0.7316,-9.4862,updown
1496246603342,-1.5442,-0.1316,0.1503,-0.0054,1.061,-15.6008,updown
1496246603392,0.1143,-0.8714,-0.8919,-0.2434,2.1033,-27.4478,updown
1496246603442,2.9207,-0.7137,-0.4865,0.2817,2.1479,-20.9211,updown
1496246603492,3.131,-0.7299,-0.4897,-1.0119,1.114,-6.7107,updown
1496246603542,2.2649,-0.488,-0.4278,0.2371,-0.6254,-0.0274,updown
1496246603592,1.6306,-0.5618,-0.4486,0.1075,-2.1466,2.7309,updown
1496246603642,0.3063,-0.1167,-0.0867,-0.3091,-2.2689,2.9183,updown
1496246603692,-0.7474,0.538,0.1771,0.4785,-2.4581,2.0131,updown
1496246603742,-1.838,0.4921,0.3699,0.3067,-2.2581,0.9205,updown
1496246603793,-2.3283,0.6683,0.587,-0.3111,0.562,-7.0371,updown
1496246603842,-2.6656,0.9458,0.6073,0.7082,1.8296,-12.9127,updown
1496246603892,-2.4572,0.4177,0.4117,0.6422,2.2252,-18.9848,updown
1496246603942,-1.826,0.195,0.1015,-0.397,1.945,-21.2929,updown
1496246603993,0.3826,0.2939,0.1035,1.326,0.2569,-20.7133,updown
1496246604043,0.9525,0.0403,0.2077,0.5682,0.3801,-19.3225,updown
1496246604094,1.6759,0.0042,0.217,1.4822,1.5676,-16.4239,updown
1496246604142,2.5774,-0.1697,0.2452,-0.2541,1.2128,-10.1284,updown
1496246604192,2.2672,-0.4237,0.0349,0.1704,0.7842,-6.3754,updown
1496246604242,1.9409,-0.3822,-0.1672,-0.0011,-0.7873,0.4978,updown
1496246604292,0.5537,-0.2278,-0.1716,0.5977,-1.6765,1.9057,updown
1496246604342,-0.1825,0.1211,-0.0581,0.4432,-1.8887,2.3887,updown
1496246604392,-1.152,0.1701,-0.1215,-0.7186,-1.3967,-1.2319,updown
1496246604443,-2.0146,0.225,0.0385,0.6254,-0.2943,-7.9676,updown
1496246604493,-2.3654,0.7541,0.0612,2.265,1.2596,-12.4871,updown
1496246604543,-1.9695,0.6786,0.1211,0.9858,1.8542,-15.9973,updown
1496246604592,-1.7804,0.4792,-0.1317,2.2935,1.9947,-17.4358,updown
1496246604642,-0.8113,-0.0464,-0.0732,1.5407,1.19,-23.664,updown
1496246604695,0.5449,-0.4036,-0.1148,1.5508,1.3587,-21.9584,updown
1496246604742,1.7611,-0.6297,-0.2259,1.6329,1.4318,-18.3432,updown
1496246604792,2.6255,-0.579,-0.1451,1.2041,0.6861,-11.4933,updown
1496246604842,2.4026,-0.6272,0.0068,1.094,0.4292,-5.8029,updown
1496246604892,2.0215,-0.3992,0.1395,-0.4389,-0.1287,-0.3092,updown
1496246604942,0.6884,-0.2188,-0.3383,-1.5831,-1.2388,1.7228,updown
1496246604993,-0.25,0.1208,-0.0406,1.0786,-2.0523,2.2173,updown
1496246605042,-0.6868,0.3201,-0.0076,-0.8803,-1.8968,-0.4869,updown
1496246605097,-1.6631,0.0901,-0.1973,0.8422,-1.5293,-3.3092,updown
1496246605142,-1.7912,0.3235,0.0034,0.5665,-0.7809,-6.4812,updown
1496246605192,-2.1991,0.2965,0.1413,0.9747,0.8077,-11.2091,updown
1496246605242,-2.1516,0.7368,0.1953,0.8502,1.8167,-13.706,updown
1496246605292,-1.7014,0.3284,0.0344,2.4343,2.0178,-18.5308,updown
1496246605342,-0.8769,0.03,0.0571,1.2979,1.727,-21.7681,updown
1496246605392,0.3103,-0.2962,-0.1151,1.3915,1.5402,-22.9299,updown
1496246605442,1.6981,-0.6235,-0.2306,0.4722,1.8113,-17.9237,updown
1496246605492,2.5317,-0.4141,-0.1494,0.3689,1.9877,-13.9797,updown
1496246605542,2.7132,-0.6452,-0.1395,1.2534,1.0875,-7.9319,updown
1496246605592,2.4774,-0.574,-0.0645,0.2372,0.1611,-2.5851,updown
1496246605642,1.8943,-0.5003,-0.075,-1.11,-1.0232,1.5676,updown
1496246605692,0.7069,-0.2001,-0.2155,-0.5322,-2.3845,2.2639,updown
1496246605742,-0.3956,0.2157,-0.1232,-0.4288,-2.6135,1.6966,updown
1496246605792,-1.4382,0.3886,-0.1101,-0.2984,-2.3208,-1.7648,updown
1496246605842,-2.2764,0.3287,-0.0144,0.8018,-0.7328,-6.9871,updown
1496246605894,-2.1125,0.5803,0.1641,0.1995,0.6384,-9.1909,updown
1496246605942,-1.9898,0.6539,-0.0627,1.22,1.1639,-13.7952,updown
1496246605992,-1.6923,0.3102,0.0417,0.7039,1.4839,-13.6913,updown
1496246606042,-1.7359,-0.0755,-0.2382,2.3637,2.5954,-20.8906,updown
1496246606097,0.1428,-0.1485,-0.1361,1.1022,0.9669,-19.8772,updown
1496246606142,0.6773,-0.2925,-0.1377,0.762,1.0869,-19.2216,updown
1496246606192,1.6711,-0.2236,-0.1547,0.8134,1.0038,-15.9594,updown
1496246606242,1.8642,-0.5298,-0.0337,0.3299,1.3686,-12.7321,updown
1496246606292,2.8417,-0.104,0.0149,0.8785,0.5708,-5.4982,updown
1496246606342,1.8841,-0.5757,-0.0002,0.0551,-0.6065,-2.0881,updown
1496246606392,1.303,-0.4546,-0.1298,-0.6852,-1.0654,-1.3454,updown
1496246606442,0.333,0.322,0.0138,-0.6698,-1.295,1.2189,updown
1496246606493,-0.7874,0.1735,-0.4235,-1.0374,-1.9263,0.1259,updown
1496246606544,-1.9099,0.3171,0.0307,1.4712,-1.7898,-2.391,updown
1496246606592,-1.8748,0.4954,0.1307,-0.065,-0.6471,-6.9488,updown
1496246606642,-2.349,0.3332,0.0192,1.5955,0.5266,-9.9182,updown
