timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496232996163,0.4483,-0.1891,0.0777,0.3534,-3.2301,-5.714,updown
1496232996212,-0.2979,0.1187,0.05,-0.0269,-2.6744,-4.1535,updown
1496232996263,-0.6016,-0.1534,0.0261,0.6146,-1.8436,-4.2398,updown
1496232996313,-0.2935,-1.302,-0.4602,-1.3157,-2.8832,-3.8105,updown
1496232996362,-0.7236,-0.7554,-0.565,1.263,-1.3926,-1.9959,updown
1496232996412,-2.6998,-0.4779,0.1688,0.2212,0.1367,-5.3957,updown
1496232996462,-2.1372,-1.176,-0.162,-2.3529,1.3513,-12.1204,updown
1496232996513,-1.7484,-0.5246,-0.0953,-0.7774,1.9757,-11.5202,updown
1496232996562,-1.3864,-1.0002,-0.2362,-2.1757,2.1125,-13.1177,updown
1496232996612,-1.9316,0.0492,-0.1231,-2.4508,1.6564,-18.0203,updown
1496232996663,-1.135,0.1186,-0.2491,-1.326,2.3878,-22.332,updown
1496232996712,0.0703,0.8823,0.0615,-1.212,1.0177,-19.8851,updown
1496232996762,1.0947,0.1178,0.171,-1.4302,1.7175,-18.9896,updown
1496232996812,1.3525,0.1552,0.0447,-1.7471,2.8415,-13.9714,updown
1496232996862,1.8522,0.0443,0.193,-2.4048,2.3568,-14.611,updown
1496232996912,2.7183,-0.2101,-0.0768,-1.4654,2.1265,-8.4124,updown
1496232996964,2.4367,0.3587,-0.0107,-0.7256,1.1514,-6.2251,updown
1496232997015,1.9123,-0.2239,0.492,-1.0047,-0.1981,-4.1979,updown
1496232997062,1.4412,0.2621,0.3447,-1.4378,-0.5697,-2.6511,updown
1496232997112,1.5178,0.0175,-0.0143,-0.029,-1.6035,-1.1435,updown
1496232997162,0.3105,0.3902,-0.0127,-0.7913,-2.5851,-0.026,updown
1496232997213,-0.6723,0.3687,-0.115,0.2427,-2.5721,-1.1489,updown
1496232997263,-1.0878,0.2136,0.0698,0.9303,-2.5029,-2.1973,updown
1496232997312,-2.0493,0.365,0.3358,-1.0792,-1.656,-4.0969,updown
1496232997362,-2.3763,0.1329,0.023,-0.625,0.2603,-9.3707,updown
1496232997413,-1.5762,-0.1171,-0.0856,-0.9868,0.7487,-6.4432,updown
1496232997462,-1.8459,-0.6182,-0.1775,-0.974,1.8421,-9.037,updown
1496232997512,-2.1642,-0.0438,0.0152,-2.1066,1.7655,-12.5024,updown
1496232997563,-2.0703,-0.5247,-0.3909,-1.3679,2.9799,-11.648,updown
1496232997613,-1.6905,-0.3734,-0.1043,-1.262,3.8038,-16.8385,updown
1496232997663,-1.0922,-0.1511,-0.0646,-1.8507,3.3133,-17.0426,updown
1496232997713,-0.7274,0.2768,-0.2005,-0.0729,2.9519,-15.9203,updown
1496232997763,0.24,-0.0484,0.0163,-1.526,2.4099,-17.7826,updown
