timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488983675318,-0.065,0.1028,0.0882,0.6049,-0.3674,-8.5657,updown
1488983675367,-0.1997,-0.1096,0.0078,0.7332,-0.0777,-10.4807,updown
1488983675418,-0.0105,0.0951,0.0379,0.4733,-0.1068,-9.2668,updown
1488983675468,-0.2163,-0.1408,-0.0825,0.3593,-0.1228,-9.875,updown
1488983675519,-0.5989,-0.432,-0.0622,0.7845,-0.9564,-11.4986,updown
1488983675570,0.2205,-0.2197,0.0349,0.277,-0.2651,-17.924,updown
1488983675619,2.0475,0.0317,0.0221,0.3302,0.8575,-16.2187,updown
1488983675668,2.306,-0.4417,-0.0311,0.757,0.5349,-12.9985,updown
1488983675718,2.5492,-0.3194,-0.0444,0.2718,0.6553,-11.4331,updown
1488983675768,2.8138,-0.4507,-0.0854,0.0172,-0.1708,-9.4693,updown
1488983675818,2.9696,-0.3355,-0.0514,0.7221,-2.7509,-4.2876,updown
1488983675868,2.3781,-0.2161,0.1543,-0.2402,-4.2025,-1.1873,updown
1488983675918,0.9331,-0.4981,-0.0445,-0.6843,-5.4274,-1.193,updown
1488983675968,0.3702,-0.1327,0.0487,-0.1536,-5.9776,-1.7608,updown
1488983676018,0.2345,0.3354,0.228,-0.6683,-5.9284,-1.5318,updown
1488983676068,-1.0962,0.382,0.0297,-1.1749,-5.1375,-0.5538,updown
1488983676118,-2.06,0.2818,-0.0589,-1.0518,-4.0028,-5.9945,updown
1488983676167,-2.009,0.7578,-0.167,-0.3711,-4.0485,-6.4888,updown
1488983676220,-2.8703,0.314,-0.3513,0.0266,-2.5048,-6.2789,updown
1488983676268,-2.8054,0.4957,0.0691,1.1402,-1.0613,-13.1065,updown
1488983676318,-1.8799,0.4055,-0.1604,0.6859,-0.8466,-12.509,updown
1488983676368,-1.6406,0.0846,-0.0888,0.7861,-0.3643,-11.357,updown
1488983676418,-1.5821,0.3813,-0.1601,0.2372,0.3939,-13.5132,updown
1488983676468,-1.2418,0.1281,-0.1227,1.6964,0.7186,-11.1147,updown
1488983676518,-0.8192,-0.0104,-0.0963,0.9736,0.6951,-13.1918,updown
1488983676568,-0.2035,-0.0287,0.1141,2.2134,0.9548,-15.9115,updown
1488983676618,1.0693,0.0985,0.3495,0.0799,1.4062,-14.9858,updown
1488983676668,1.3522,-0.3372,-0.0018,1.164,1.7808,-16.4702,updown
1488983676719,2.2627,-0.1065,0.1355,1.3415,1.6198,-16.7452,updown
1488983676768,3.0189,-0.214,0.1486,1.3857,0.0886,-9.3646,updown
1488983676818,2.4841,-0.7658,0.1487,0.4493,-0.8341,-7.797,updown
1488983676868,2.4391,-0.4954,0.0283,-0.164,-1.6746,-5.1167,updown
1488983676918,1.8198,-0.3649,0.0195,0.0026,-3.059,-3.8797,updown
1488983676968,1.1989,-0.3885,-0.1475,-0.2171,-3.9436,-2.825,updown
1488983677018,0.1336,0.1024,0.2711,0.8099,-4.6245,-0.6079,updown
1488983677068,-0.9762,-0.0104,0.1043,-1.2906,-4.3568,-1.1226,updown
1488983677118,-1.8164,0.3846,0.1622,0.0224,-3.5983,-4.8508,updown
1488983677168,-1.784,0.2683,0.0549,-0.6148,-2.9541,-8.1406,updown
1488983677218,-1.8036,0.4152,0.1127,-0.2379,-2.1365,-9.3213,updown
1488983677268,-1.7136,0.354,0.0379,-1.2599,-1.6049,-9.0591,updown
1488983677318,-1.8307,0.4179,-0.2097,1.0512,-1.0585,-10.2792,updown
1488983677369,-1.6984,0.4261,-0.0227,-0.2,0.1897,-10.5591,updown
1488983677418,-1.6428,0.5302,-0.2326,1.8917,0.0998,-13.165,updown
1488983677468,-1.0007,0.0424,-0.2296,0.0225,0.2232,-11.5658,updown
1488983677518,-0.9255,0.3097,-0.2921,1.5983,0.1681,-13.7699,updown
1488983677568,-0.1633,0.2075,-0.0482,2.977,0.1455,-15.785,updown
1488983677618,0.8436,0.1194,0.3742,1.0314,0.8531,-16.7779,updown
1488983677670,1.7928,0.0281,0.2903,1.4937,0.7988,-15.1522,updown
1488983677719,2.6746,-0.044,0.4886,1.5304,0.4728,-14.2406,updown
1488983677768,2.81,-0.4408,0.2108,1.0662,0.1524,-10.9229,updown
1488983677818,2.8084,-0.4119,0.2354,1.3223,-0.9124,-8.0888,updown
1488983677868,2.0933,-0.9075,0.087,0.5753,-2.3412,-4.6609,updown
1488983677919,1.7797,-0.7532,0.03,0.0693,-3.3595,-3.8713,updown
1488983677968,0.9975,-0.1585,0.0378,0.5768,-4.5303,-1.3612,updown
1488983678019,0.3844,-0.2194,0.0198,-0.5889,-4.9378,-1.6397,updown
1488983678068,-0.3924,0.1309,-0.0109,-0.4807,-4.7841,-1.5176,updown
1488983678118,-1.7228,0.0871,-0.1598,-0.3313,-3.9418,-4.7621,updown
1488983678168,-1.9201,0.0857,-0.2025,0.6634,-3.4483,-6.1019,updown
1488983678218,-2.3935,0.3492,0.0352,0.6178,-2.0114,-7.4032,updown
1488983678268,-2.6936,0.291,0.0183,0.1746,-1.1653,-9.8748,updown
1488983678318,-2.5827,0.0591,-0.1207,1.2391,-0.2739,-12.5625,updown
1488983678368,-1.5822,0.482,0.0604,0.1749,-0.2878,-11.7883,updown
1488983678418,-1.1554,0.1423,-0.1212,1.6658,-0.4524,-11.8755,updown
1488983678468,-0.5838,0.6038,0.2256,0.771,0.453,-14.5939,updown
1488983678519,-0.5701,-0.1693,-0.1722,0.874,0.21,-12.5514,updown
1488983678569,-0.1525,-0.0177,-0.0408,1.6129,0.1696,-15.0745,updown
1488983678618,0.8911,0.0165,0.1304,0.8956,0.3769,-16.1278,updown
1488983678668,1.2175,-0.3783,-0.0357,2.2897,1.031,-17.0233,updown
1488983678718,3.0431,-0.0066,0.3575,2.0843,1.2793,-15.6429,updown
1488983678768,3.3124,-0.5531,0.4317,1.4967,0.5829,-9.9393,updown
1488983678819,3.3083,-0.4896,0.5715,-0.0634,-0.2314,-4.9621,updown
1488983678868,2.0988,-0.5821,0.1417,-1.2429,-2.366,-1.1787,updown
1488983678918,1.1426,-0.1673,-0.0712,-0.5405,-3.7462,-0.3583,updown
1488983678968,0.1832,0.0417,-0.0193,-0.5349,-4.2325,-0.2095,updown
1488983679018,-0.8512,0.1056,-0.1053,-0.811,-4.0719,-1.3893,updown
1488983679068,-1.4074,0.1651,-0.2566,0.5638,-3.7494,-2.4551,updown
1488983679118,-2.2771,0.2327,0.027,-0.5347,-2.5145,-5.1841,updown
1488983679168,-2.6305,0.1808,-0.3838,1.037,-1.9584,-8.5504,updown
1488983679219,-2.3727,0.5474,0.2284,0.1733,-0.479,-10.9882,updown
1488983679270,-2.193,0.2007,-0.1672,-0.113,0.1597,-12.0969,updown
1488983679318,-1.3792,0.3015,-0.0568,0.7347,0.4078,-14.6156,updown
1488983679368,-1.111,0.0903,-0.3471,1.0509,0.3017,-12.4297,updown
1488983679418,-0.7072,0.2038,-0.0169,1.4935,0.2983,-13.8469,updown
1488983679468,-0.4931,-0.1886,-0.1551,1.0931,0.1169,-12.1773,updown
1488983679518,-0.1811,0.1042,0.0319,0.6351,0.3106,-13.8885,updown
