timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496234832050,0.9671,-0.5839,0.3634,0.9007,1.4977,-7.4776,updown
1496234832100,0.7576,0.1741,-0.9602,-4.8123,-2.7861,-17.9065,updown
1496234832152,1.6579,-1.4862,-0.6551,6.5244,0.9044,-20.418,updown
1496234832203,2.5412,-0.9731,0.3419,-1.7032,0.731,-17.2675,updown
1496234832252,2.5964,0.1405,0.1541,-1.6251,1.0444,-6.1306,updown
1496234832300,2.511,-0.4191,-0.0002,-1.0582,-0.8251,-1.2034,updown
1496234832351,1.8213,1.7735,0.0002,1.3502,-0.5676,3.0149,updown
1496234832400,0.2762,-0.2036,0.2216,0.6598,-1.4678,3.7365,updown
1496234832453,-1.1929,-0.5388,0.1321,-0.959,-2.2849,3.952,updown
1496234832501,-2.2478,-0.8632,-0.2335,-0.4753,-1.8438,0.5209,updown
1496234832551,-3.0311,-0.0396,0.3865,-2.5257,0.1026,-1.8004,updown
1496234832601,-3.1764,-1.5164,-0.3344,-0.0887,1.6108,-11.8308,updown
1496234832651,-3.6811,-1.3677,-0.0745,-5.8087,1.5734,-14.2143,updown
1496234832701,-2.307,-0.9901,0.0986,-2.9214,3.2047,-17.2147,updown
1496234832751,-2.0498,-0.4858,-0.3395,-5.7655,2.972,-19.9107,updown
1496234832801,0.1105,-0.0498,-0.2506,-3.6648,1.9269,-29.0032,updown
1496234832851,1.3221,0.2265,-0.3152,-1.4147,1.9591,-19.8994,updown
1496234832901,1.8016,0.8763,-0.0056,-2.9128,2.7936,-19.6886,updown
1496234832951,3.1334,0.7915,-0.0621,-4.449,4.6095,-17.5134,updown
1496234833003,4.1181,0.8461,-0.5702,-4.205,3.2092,-6.6586,updown
1496234833050,3.6205,1.3489,-0.9007,0.1713,2.0374,2.9985,updown
1496234833101,1.9371,0.9675,-0.158,1.7337,0.1251,1.5865,updown
1496234833151,1.0557,0.9128,0.3153,0.3827,-2.7718,3.0869,updown
1496234833201,-0.3156,0.3056,0.4927,0.9748,-3.5312,2.7259,updown
1496234833250,-1.4454,-0.7088,0.3028,-0.1223,-3.0876,2.9402,updown
1496234833300,-2.3754,-0.3087,0.4168,-0.1038,-1.0804,-1.5603,updown
1496234833351,-2.8861,-2.1925,-0.0057,-0.3364,2.3724,-2.4664,updown
1496234833401,-3.5379,-0.7605,0.8008,-2.1572,3.7882,-9.587,updown
1496234833451,-3.3979,-1.7292,0.268,-4.7777,5.5625,-12.7281,updown
1496234833500,-3.3083,-0.6163,0.6797,-6.6031,5.4592,-20.6943,updown
1496234833550,-2.4204,-0.4985,0.0418,-4.8487,5.0093,-27.0254,updown
1496234833601,0.1762,0.4392,-0.0728,-4.5074,1.412,-20.6641,updown
1496234833651,0.8176,0.7021,-0.202,-2.5897,2.9018,-22.2375,updown
1496234833701,1.9669,0.94,-0.0017,-3.1007,4.8183,-22.4628,updown
1496234833751,3.4597,1.6279,0.0964,-2.8986,5.9987,-15.9313,updown
1496234833801,4.6739,1.4051,0.019,-2.5029,5.1465,-6.1829,updown
1496234833851,3.9126,1.228,0.189,-0.8258,2.6288,1.1197,updown
1496234833900,2.5293,0.3106,-0.074,0.2579,-0.4463,3.301,updown
1496234833951,1.3221,0.0599,0.009,1.4346,-1.8549,6.236,updown
1496234834001,-0.4718,-0.4698,0.2065,0.9856,-2.2431,4.4069,updown
1496234834051,-1.8336,-0.2527,0.2609,0.6048,-1.8266,2.466,updown
1496234834101,-2.4525,-0.76,0.2128,0.3208,-0.0514,-1.2456,updown
1496234834151,-2.725,-0.7411,0.4122,-1.9688,1.0256,-2.1526,updown
1496234834202,-3.7284,-1.2844,0.2341,-0.0747,4.8962,-7.4929,updown
1496234834251,-4.0264,-1.6092,0.6231,-7.3198,6.6308,-12.6205,updown
1496234834301,-3.7126,-1.2742,0.0622,-3.6903,8.8177,-27.9141,updown
1496234834351,-1.5978,0.4035,0.2995,-4.3718,3.3507,-26.864,updown
1496234834401,0.0793,-0.0272,0.5313,-2.4721,0.199,-23.8859,updown
1496234834451,1.6444,0,-0.0147,-4.9488,1.1929,-25.8533,updown
1496234834502,2.6106,0.6963,-0.1278,-4.8644,6.1774,-22.1037,updown
1496234834551,4.0751,0.3239,-0.4842,-3.5332,7.5754,-14.7583,updown
1496234834602,4.6875,0.1662,-0.4441,-2.909,5.4058,-4.5686,updown
1496234834651,3.9305,0.4127,-0.6894,-1.3631,3.3106,2.1222,updown
1496234834700,1.8722,0.591,-0.5813,0.143,1.0424,5.7865,updown
1496234834751,0.3878,0.3949,-0.3325,1.8228,0.8505,4.0209,updown
1496234834801,-0.3766,0.21,-0.0387,1.5948,0.4831,4.9055,updown
1496234834851,-2.4661,0.3005,0.2692,1.1332,0.2384,1.8838,updown
1496234834901,-3.3295,-0.7164,0.4241,0.6626,1.392,-1.1945,updown
1496234834952,-3.3899,-0.5151,0.2312,-1.1919,2.7219,-7.1197,updown
1496234835002,-3.695,-0.3085,0.4922,-3.1284,3.7472,-7.1037,updown
