timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494679239181,-0.1238,0.8633,-0.203,-1.3055,-0.3271,-6.8188,updown
1494679239231,-0.9422,0.5568,-0.2803,-0.728,-1.0459,-9.3419,updown
1494679239280,-0.8845,0.8805,-0.0731,-0.7381,0.8256,-9.0201,updown
1494679239331,-0.9682,1.3648,-1.4547,1.7003,0.1771,-12.7739,updown
1494679239381,-0.2165,-0.8526,0.1964,-1.1366,1.3087,-12.0562,updown
1494679239431,-1.1046,-0.9415,-0.0607,-2.5468,3.2304,-28.2227,updown
1494679239481,0.8464,-0.5052,-0.4482,-2.2995,5.9623,-28.7646,updown
1494679239530,4.3026,0.011,-0.4704,2.9685,4.7875,-14.9794,updown
1494679239581,5.4197,-0.1932,-0.3523,1.8212,5.4579,-0.7616,updown
1494679239631,2.7574,-0.6414,0.2202,-0.4668,1.4113,9.9751,updown
1494679239681,0.1464,-0.1049,-0.0752,-0.8132,-1.0148,11.2281,updown
1494679239731,-1.4849,0.9099,0.2048,0.117,-0.2431,4.1371,updown
1494679239781,-2.8765,0.245,0.2887,3.0275,0.9372,3.2367,updown
1494679239831,-4.643,1.8219,1.0009,0.742,5.6206,-11.9275,updown
1494679239882,-2.8721,2.0635,0.1191,2.7492,4.8805,-15.5743,updown
1494679239931,-3.1577,0.0314,-0.0355,3.5954,4.3407,-21.6249,updown
1494679239981,-3.188,0.501,0.6375,4.5099,5.8121,-22.4702,updown
1494679240030,-3.0184,-0.7248,0.5805,-1.2185,6.8557,-31.4944,updown
1494679240081,1.9878,0.9244,-0.0009,3.2941,3.5307,-19.3839,updown
1494679240138,1.813,-2.0889,-0.4214,1.7874,4.6375,-22.8031,updown
1494679240181,3.5088,-0.8478,-0.1367,2.0528,4.3599,-11.8742,updown
1494679240231,4.1161,-0.5179,-0.0641,1.7951,4.5822,-11.4509,updown
1494679240288,3.9713,-0.606,0.2861,0.1749,2.3837,0.7282,updown
1494679240331,2.2863,-0.7662,-0.2329,0.0567,-0.3174,2.1693,updown
1494679240381,1.6272,0.1745,-0.1321,-1.3153,-0.1251,4.7096,updown
1494679240431,0.5794,-0.227,-0.3178,-0.526,-1.2657,5.2869,updown
1494679240481,-1.3727,-0.1811,-0.283,-0.7502,-1.0883,1.7108,updown
1494679240530,-2.304,-0.1418,-0.5108,-0.9364,0.0856,0.2576,updown
1494679240583,-3.3141,0.5916,-0.1697,-0.2726,2.414,-4.6406,updown
1494679240632,-3.8071,0.3267,-0.2212,0.3955,4.1199,-11.6077,updown
1494679240681,-3.8141,1.7921,0.1817,1.6087,6.4581,-15.9139,updown
1494679240731,-3.4893,1.847,0.1867,0.1338,7.3996,-24.8727,updown
1494679240781,-0.9781,0.6883,-0.467,2.4022,4.4655,-28.7792,updown
1494679240831,0.679,-0.2718,-0.6832,4.2373,3.2678,-24.2574,updown
1494679240882,1.8828,-0.7519,-0.2787,2.7175,5.5275,-24.1696,updown
1494679240931,3.4236,-1.2683,-0.4074,3.6786,6.2502,-16.5732,updown
1494679240984,4.2807,-0.8668,0.0241,1.9304,5.1991,-6.3971,updown
1494679241031,3.9546,-1.0774,0.0238,0.3392,3.558,-1.9077,updown
1494679241081,3.2852,-0.6138,0.0125,-0.1001,1.3148,3.1,updown
1494679241137,1.1418,-0.2964,-0.24,-1.3896,-0.8466,3.4092,updown
1494679241181,0.6456,0.2139,-0.1515,-0.6474,-1.1935,3.6496,updown
1494679241231,-1.0903,0.4618,0.1892,-1.7811,-0.8678,2.5912,updown
1494679241281,-1.8754,0.3998,-0.0646,-1.4232,-0.0519,0.1695,updown
1494679241331,-2.579,1.3589,0.2048,1.4706,1.6063,-2.5153,updown
1494679241381,-3.1502,0.1878,0.0585,0.4878,3.09,-9.4126,updown
1494679241431,-3.2525,1.7236,0.6286,3.3988,2.6395,-12.7196,updown
1494679241481,-3.2337,1.9635,0.8284,3.1248,4.3968,-21.4292,updown
1494679241531,-2.6183,0.5879,0.3643,4.8426,3.1269,-21.5044,updown
1494679241582,-0.5396,0.1274,0.4581,4.1539,4.9312,-31.1847,updown
1494679241631,0.3777,-0.3873,0.1964,6.9782,3.2745,-26.5773,updown
1494679241681,1.7139,-1.3076,0.8048,6.7099,5.4511,-22.4533,updown
1494679241731,3.6823,-2.0982,0.3345,2.6504,7.6469,-21.4561,updown
1494679241781,4.7578,-0.9799,0.5293,1.8673,5.3863,-3.8851,updown
1494679241831,3.831,-1.4351,0.1758,1.0387,2.604,0.3224,updown
1494679241894,2.6457,-1.112,0.2784,-1.1052,-0.0622,6.8456,updown
1494679241931,0.9573,-0.154,0.1053,-0.8694,-1.1715,7.7905,updown
1494679241981,-0.5617,0.0028,-0.1179,-0.6347,-1.2115,5.3087,updown
1494679242031,-1.6756,0.8957,-0.0891,-0.3789,-0.6564,1.4079,updown
1494679242082,-2.4986,0.737,-0.3065,-0.1085,0.8928,-1.1047,updown
1494679242131,-3.0331,1.023,-0.2634,0.1993,2.23,-6.7683,updown
1494679242181,-2.853,1.2197,-0.6705,2.9442,2.6274,-8.3808,updown
1494679242231,-3.6041,0.1955,-0.4446,1.9939,4.7436,-14.2531,updown
1494679242280,-3.1016,1.3574,0.046,5.2281,5.8105,-19.274,updown
1494679242330,-2.9261,0.8911,0.0458,4.7808,5.9788,-25.1245,updown
1494679242381,-1.0738,0.1747,0.0299,3.961,4.5087,-28.3689,updown
1494679242431,0.7427,-0.8157,0.1566,3.1364,5.1533,-24.0868,updown
1494679242481,1.4246,-1.0137,0.1244,2.1015,6.3695,-17.9933,updown
1494679242535,2.5834,-1.1715,-0.0682,1.1554,7.8672,-14.9558,updown
1494679242581,3.7583,-0.2111,0.0248,2.6365,6.1485,-8.251,updown
1494679242631,3.1385,-0.3721,-0.5225,0.1461,3.5877,-2.1849,updown
1494679242683,2.6839,-0.3401,0.1698,0.4773,1.9111,-0.7766,updown
1494679242731,1.7645,-0.453,-0.1643,0.3381,-0.9269,2.9165,updown
1494679242781,0.776,-0.3108,-0.006,-0.3436,-1.9287,2.9347,updown
1494679242831,-0.5266,-0.0461,0.0345,-0.3619,-1.7142,2.2383,updown
1494679242882,-1.2625,-0.3235,-0.0903,-1.13,-1.0221,0.4888,updown
1494679242931,-2.0619,0.7589,0.0536,0.3304,1.1835,-0.6827,updown
1494679242981,-2.8285,0.3163,0.1296,0.1039,3.5169,-6.3544,updown
1494679243031,-3.5443,1.1603,-0.1573,2.5842,5.0739,-9.797,updown
1494679243082,-4.1728,1.2927,0.2881,2.9342,7.4926,-17.8556,updown
1494679243131,-2.3546,0.3881,-0.0324,2.3632,8.453,-30.4491,updown
1494679243181,0.5519,-0.0099,-0.359,2.8568,5.9048,-27.2729,updown
1494679243231,1.5252,-0.2527,-0.1725,3.9067,4.4859,-23.1439,updown
1494679243282,2.4436,-1.2127,-0.0453,1.354,6.1179,-21.3194,updown
1494679243331,3.7499,-0.7693,-0.0941,1.4319,6.1814,-15.237,updown
1494679243383,4.2653,-0.8829,-0.1211,0.8741,5.3067,-8.0224,updown
1494679243431,4.1936,-0.6427,0.1258,1.6939,4.1795,-7.9424,updown
1494679243481,3.8978,-0.702,-0.2118,-0.8922,1.6218,0.1914,updown
1494679243531,2.225,-0.5713,0.1696,-0.8802,-1.773,3.3017,updown
1494679243582,0.96,-0.4088,-0.1995,1.2502,-2.6882,2.3917,updown
1494679243632,-0.0728,-0.3269,0.2952,-0.2428,-2.4157,4.4456,updown
1494679243682,-1.3686,0.2459,0.0212,-3.3046,-2.7436,4.7617,updown
1494679243733,-2.5935,0.2909,-0.2488,0.4561,-1.0364,-0.0764,updown
1494679243781,-2.8331,1.276,0.0045,1.4244,0.8888,-1.9498,updown
1494679243832,-4.1197,0.8335,0.0605,1.2981,2.8265,-10.7189,updown
