timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1487783533938,91,11,1,-0.71734619140625,2.7097930908203125,10.978836059570312,updown
1487783533985,91,11,1,-0.5157928466796875,1.801971435546875,11.2940673828125,updown
1487783534034,91,11,0,-0.625244140625,1.823638916015625,7.77667236328125,updown
1487783534085,91,9,0,0.110504150390625,1.6075592041015625,8.313461303710938,updown
1487783534136,91,6,2,0.82763671875,1.42010498046875,8.952178955078125,updown
1487783534185,91,4,4,0.2752227783203125,0.3076324462890625,10.55279541015625,updown
1487783534235,92,3,3,-0.194122314453125,0.2266693115234375,10.9466552734375,updown
1487783534284,92,2,5,-2.0484161376953125,-0.0522613525390625,9.397125244140625,updown
1487783534335,93,1,5,0.0111541748046875,-0.1175079345703125,10.585968017578125,updown
1487783534385,93,1,5,-0.15118408203125,0.8313446044921875,9.4718017578125,updown
1487783534434,93,0,5,-0.3612518310546875,-0.1009979248046875,8.934722900390625,updown
1487783534485,93,0,4,-0.2079315185546875,-0.0279693603515625,9.328033447265625,updown
1487783534538,94,-1,4,-0.746917724609375,-0.2675933837890625,9.965927124023438,updown
1487783534585,94,-1,4,-1.01824951171875,-0.3582916259765625,10.204421997070312,updown
1487783534635,94,-1,5,-0.606597900390625,-0.2733001708984375,9.385009765625,updown
1487783534685,94,-1,4,-0.920074462890625,-0.1484375,9.350173950195312,updown
1487783534735,94,-1,4,-1.306793212890625,-0.2342681884765625,10.236968994140625,updown
1487783534785,94,-2,5,-1.5294952392578125,-0.20526123046875,9.37249755859375,updown
1487783534835,95,-3,5,-0.1707916259765625,-0.5065155029296875,8.690231323242188,updown
1487783534885,95,-5,6,-1.388580322265625,-0.930908203125,9.645889282226562,updown
1487783534941,95,-7,6,-1.0675811767578125,-0.865264892578125,9.579681396484375,updown
1487783534985,96,-8,6,-1.2369384765625,-1.1165313720703125,9.252639770507812,updown
1487783535036,96,-9,5,-0.3389129638671875,-0.9114532470703125,10.558609008789062,updown
1487783535085,95,-12,4,-4.226776123046875,-5.01947021484375,23.866989135742188,updown
1487783535135,95,-10,3,-0.8768463134765625,-9.708877563476562,29.598281860351562,updown
1487783535186,94,9,1,-2.9479827880859375,-7.7781219482421875,9.137466430664062,updown
1487783535234,95,28,0,1.4585113525390625,-4.0740814208984375,-10.086807250976562,updown
1487783535285,97,38,-2,6.755645751953125,1.518402099609375,-28.50897216796875,updown
1487783535335,95,28,-1,-1.6842193603515625,-1.520782470703125,-11.460845947265625,updown
1487783535385,95,-1,-2,-2.6689910888671875,-10.883316040039062,22.690353393554688,updown
1487783535435,97,-11,-2,3.6666717529296875,-10.377395629882812,48.56446838378906,updown
1487783535485,96,-1,-5,-2.1452178955078125,-6.707672119140625,29.147232055664062,updown
1487783535535,98,16,-8,-3.533966064453125,-2.38763427734375,-7.840484619140625,updown
1487783535585,102,23,-12,8.693450927734375,0.875,-25.171783447265625,updown
1487783535635,97,11,-10,-2.205322265625,-1.2830657958984375,-5.9004669189453125,updown
1487783535686,94,-11,-9,1.7900390625,-9.861526489257812,55.60700988769531,updown
1487783535735,96,-4,-6,3.8049468994140625,-6.9048004150390625,25.565078735351562,updown
1487783535785,96,9,-8,-3.548736572265625,-5.9206085205078125,4.7423553466796875,updown
1487783535835,99,19,-8,0.407196044921875,-4.42578125,-7.9243927001953125,updown
1487783535885,99,24,-8,2.9002532958984375,3.475128173828125,-23.508285522460938,updown
1487783535935,96,6,-6,-2.59228515625,-5.275787353515625,9.637985229492188,updown
1487783535985,96,-10,-2,0.7513580322265625,-9.086517333984375,50.29058837890625,updown
1487783536035,96,-6,-1,0.292022705078125,-7.4139404296875,34.181304931640625,updown
1487783536085,97,12,-4,-4.03912353515625,-5.60443115234375,3.0222625732421875,updown
1487783536135,99,25,-8,0.54290771484375,-0.9720611572265625,-24.763092041015625,updown
1487783536185,99,20,-7,4.08868408203125,0.9874725341796875,-21.8258056640625,updown
1487783536235,97,0,-3,-1.9172515869140625,-6.2164764404296875,24.864395141601562,updown
1487783536285,98,-10,1,-1.920318603515625,-7.324554443359375,39.977813720703125,updown
1487783536335,98,-5,2,-2.5177154541015625,-7.0866851806640625,37.47190856933594,updown
1487783536385,98,9,-1,-3.0854339599609375,-5.488128662109375,5.0217437744140625,updown
1487783536435,101,21,-4,0.156097412109375,-0.664215087890625,-18.245193481445312,updown
1487783536485,102,22,-6,4.276153564453125,1.75714111328125,-20.322952270507812,updown
1487783536535,100,5,-2,-1.7038421630859375,-7.4384307861328125,20.430313110351562,updown
1487783536585,100,-8,4,-3.44683837890625,-6.8751068115234375,29.7786865234375,updown
1487783536635,100,-12,5,-4.939453125,-8.0499267578125,47.14427185058594,updown
1487783536685,100,-1,4,-2.68414306640625,-5.7559051513671875,10.005279541015625,updown
1487783536735,99,9,1,-0.382293701171875,-3.764312744140625,1.29888916015625,updown
1487783536785,100,20,-2,1.91015625,1.451904296875,-21.90399169921875,updown
1487783536837,100,17,-1,1.7719268798828125,2.516632080078125,-20.212814331054688,updown
1487783536885,100,0,3,-3.269500732421875,-6.9130401611328125,13.604080200195312,updown
1487783536938,100,-9,6,-3.5829315185546875,-7.55084228515625,37.31529235839844,updown
1487783536985,99,-8,5,-4.081634521484375,-5.6619415283203125,42.20079040527344,updown
1487783537035,98,3,3,-3.63397216796875,-5.9991455078125,12.762542724609375,updown
1487783537085,99,16,-2,-1.2341461181640625,-2.935272216796875,-9.312103271484375,updown
1487783537135,100,21,-6,4.62860107421875,3.4235382080078125,-19.410797119140625,updown
1487783537185,99,13,-4,-1.355743408203125,-0.170928955078125,-5.0255889892578125,updown
1487783537235,99,-2,1,-4.2039031982421875,-6.8459625244140625,25.683761596679688,updown
1487783537285,101,-10,4,-0.619964599609375,-8.92938232421875,37.95587158203125,updown
1487783537335,101,-10,3,-2.9663543701171875,-7.888275146484375,32.39923095703125,updown
1487783537385,99,3,0,-2.08013916015625,-6.3712005615234375,11.428115844726562,updown
1487783537435,98,16,-4,-1.300811767578125,-1.959136962890625,-8.78167724609375,updown
1487783537485,99,25,-6,1.453582763671875,5.2787933349609375,-24.253982543945312,updown
1487783537535,98,18,-2,-1.937408447265625,2.3188629150390625,-9.780563354492188,updown
1487783537585,99,5,3,-2.704345703125,-3.0905914306640625,19.932479858398438,updown
1487783537635,100,-2,5,-0.74200439453125,-5.7645111083984375,35.95391845703125,updown
1487783537685,99,1,3,-3.6295166015625,-5.0799713134765625,36.72108459472656,updown
1487783537735,98,12,0,-2.917938232421875,-2.8164215087890625,9.530517578125,updown
1487783537785,99,25,-4,-0.720703125,-0.5671234130859375,-11.894882202148438,updown
1487783537835,99,30,-6,2.6487884521484375,3.37548828125,-24.30194091796875,updown
1487783537885,100,18,-1,1.545928955078125,-0.8253326416015625,6.2636566162109375,updown
1487783537936,99,11,2,-8.163299560546875,-3.59454345703125,16.475234985351562,updown
1487783537985,100,-1,5,-1.8101348876953125,-3.8355865478515625,39.942657470703125,updown
1487783538036,100,2,3,-3.0438385009765625,-2.0760040283203125,29.5418701171875,updown
