timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495479829956,-0.0195,-0.0589,-0.0326,0.748,-0.3557,-9.6768,updown
1495479830007,-0.0396,-0.0327,-0.0019,0.9154,-0.4047,-9.8458,updown
1495479830056,-0.0084,-0.0299,0.0056,0.6129,-0.4182,-9.5693,updown
1495479830106,0.0066,-0.0154,-0.0007,0.5292,-0.2686,-10.0431,updown
1495479830156,-0.0413,-0.0451,-0.0254,0.5613,-0.3969,-9.3383,updown
1495479830206,-0.038,-0.0663,-0.0301,0.6524,-0.3647,-9.8589,updown
1495479830256,-0.1011,-0.048,-0.0043,0.732,-0.3995,-9.4057,updown
1495479830306,-0.1633,-0.0391,0.0234,0.6637,-0.4594,-9.2418,updown
1495479830357,-0.7394,-0.139,0.0675,1.2814,-0.2835,-10.8505,updown
1495479830407,-1.2073,-0.1221,0.1474,2.2072,-0.4305,-18.8665,updown
1495479830456,0.567,-0.6609,0.5255,0.5019,1.3199,-24.3165,updown
1495479830506,2.6283,-0.5147,0.0455,-2.9763,1.937,-13.344,updown
1495479830556,2.0405,-0.3018,-0.5005,0.5998,0.992,-8.2783,updown
1495479830606,1.8906,-0.3221,-0.6557,-0.1145,0.8146,-3.3407,updown
1495479830656,1.845,-0.3088,-0.4017,1.0552,-1.3468,0.2869,updown
1495479830707,0.5572,-0.2206,-0.1118,0.242,-2.9318,4.1637,updown
1495479830757,-0.493,-0.0283,0.047,0.8502,-2.161,0.4176,updown
1495479830806,-0.6008,0.1065,0.0487,-0.5934,-2.6323,0.6932,updown
1495479830857,-1.8776,0.2015,-0.1115,1.5481,-1.5845,-2.1358,updown
1495479830914,-2.2235,0.7686,0.2926,-1.0873,0.5081,-6.0119,updown
1495479830964,-3.0307,0.2292,0.113,1.5276,2.4753,-14.6424,updown
1495479831006,-2.611,0.516,0.4848,-0.3551,3.9223,-19.1752,updown
1495479831056,-1.7732,0.0868,0.1023,-0.946,3.3251,-23.4,updown
1495479831107,-0.1478,0.3877,-0.1026,1.0277,2.0444,-22.1941,updown
1495479831156,1.0622,-0.0607,-0.1186,1.7549,2.0041,-21.1533,updown
1495479831209,2.472,-0.4403,0.0041,0.4276,2.3333,-15.1686,updown
