timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495479743044,-0.0223,0.0732,0.0215,0.4816,0.0066,-9.7732,updown
1495479743093,-0.1507,-0.1412,-0.0349,0.4277,-0.1038,-9.7175,updown
1495479743143,-0.4726,0.1834,0.0898,1.2477,-0.7677,-11.6457,updown
1495479743194,-0.6718,-0.525,0.2707,1.325,-0.1351,-17.0956,updown
1495479743243,0.0675,0.0033,0.51,0.517,0.5927,-16.9314,updown
1495479743293,0.2362,0.0754,0.1877,-2.3931,0.9292,-17.0999,updown
1495479743343,1.2036,0.2974,-0.2612,1.2179,3.0045,-19.9726,updown
1495479743393,3.2692,-0.3195,-0.3385,-0.4704,3.6637,-7.8577,updown
1495479743442,3.3773,-0.4461,-0.7043,1.2147,1.4352,1.3142,updown
1495479743492,2.2147,-0.0151,0.2156,0.9218,-0.634,8.9501,updown
1495479743543,0.1668,-0.6564,0.1106,-1.4541,-0.1335,11.9098,updown
1495479743593,-1.7793,0.362,-0.1636,-1.121,-0.0995,9.2245,updown
1495479743643,-3.7436,0.5588,-0.2069,0.9256,1.5068,2.7257,updown
1495479743693,-4.7306,0.8936,0.2191,1.9877,4.7558,-12.6611,updown
1495479743743,-3.6252,0.1886,0.4488,2.3402,7.4216,-35.8561,updown
1495479743793,-0.5564,0.0741,0.1337,1.5995,6.0461,-38.7844,updown
1495479743842,2.371,-0.5202,-0.0798,1.8413,5.0383,-29.4463,updown
1495479743892,3.7726,-1.3727,-0.3849,-1.0953,6.8537,-13.7473,updown
1495479743942,4.0046,-1.2067,-0.4854,0.6953,7.9043,-8.3229,updown
1495479743993,4.5068,-0.7764,-0.3677,1.3116,3.5828,10.979,updown
1495479744042,1.8697,-0.4933,0.0673,-2.0204,-0.57,22.926,updown
1495479744092,-2.7432,0.4817,-0.5155,1.6643,-1.4079,16.3341,updown
1495479744142,-4.7575,0.6008,0.5073,3.3548,5.1289,-1.7391,updown
1495479744193,-5.4779,0.4543,0.7899,0.2209,9.6024,-18.4236,updown
1495479744243,-3.1353,0.2149,0.4135,-1.2148,9.9355,-36.4147,updown
1495479744293,1.0677,0.227,-0.3866,-1.8091,8.7056,-45.899,updown
1495479744343,3.4293,-0.0946,-0.4834,1.4495,6.4357,-29.7114,updown
1495479744393,4.7691,-0.4829,-0.3878,2.377,6.2721,-4.8465,updown
1495479744443,4.237,-0.7178,-0.0475,-0.24,2.9761,7.3683,updown
1495479744493,2.3562,0.0045,0.0275,-0.5129,-0.3703,21.1198,updown
1495479744543,-0.855,0.6528,-0.1573,-0.7744,-0.4299,17.8718,updown
1495479744593,-3.519,0.824,-0.1152,2.0124,2.6155,6.5469,updown
1495479744643,-5.1174,0.3625,0.2681,1.1493,8.7377,-14.4638,updown
1495479744694,-3.5811,0.3294,0.299,2.5655,8.0212,-32.228,updown
1495479744743,-1.6039,-0.1676,0.0051,1.3842,6.7304,-41.1838,updown
1495479744793,1.5179,0.0201,-0.154,1.2804,5.4817,-37.3218,updown
1495479744843,3.5283,-0.276,-0.1469,1.9365,5.256,-21.9304,updown
1495479744898,3.8254,-0.501,-0.009,0.7094,4.9359,-8.0161,updown
1495479744942,3.398,-0.3799,-0.1758,-0.2534,2.7685,0.6915,updown
1495479744994,2.3539,-0.09,0.0866,-0.8599,-0.5576,16.6929,updown
1495479745043,-0.8003,0.0813,-0.3343,-0.525,-1.4547,13.2121,updown
1495479745092,-2.9848,0.2081,-0.1181,1.9295,-0.7639,9.5028,updown
1495479745143,-4.4621,0.0909,0.1562,2.0299,5.6835,-7.1946,updown
1495479745194,-3.8512,0.0557,0.2914,1.3892,7.3263,-24.0144,updown
1495479745243,-2.4324,-0.3146,0.2784,0.7921,6.2276,-33.8942,updown
1495479745293,0.4708,0.0316,-0.0279,-1.9896,6.1582,-35.3978,updown
1495479745343,3.2954,0.1453,-0.1893,1.0382,3.9224,-20.2623,updown
1495479745393,3.6234,-0.3001,-0.3168,0.6917,3.8162,-9.9005,updown
1495479745443,3.1499,-0.7579,-0.3752,-0.9964,1.5648,-1.224,updown
1495479745493,3.009,-0.3445,-0.3237,2.0528,-0.0695,5.0574,updown
1495479745543,0.4712,-0.3211,-0.0549,0.9315,-0.3969,10.7535,updown
1495479745593,-1.4109,-0.0119,-0.1327,-0.3344,0.0365,8.7019,updown
1495479745643,-2.8681,0.2596,-0.0781,1.908,-0.5113,4.4319,updown
1495479745699,-3.8163,0.2034,0.4525,0.1597,4.5784,-11.887,updown
1495479745745,-3.3914,0.3011,0.3837,-0.299,5.9398,-27.3694,updown
1495479745794,-1.59,0.4102,-0.0163,-1.463,5.0444,-27.656,updown
1495479745843,0.8042,0.4921,-0.0423,1.1858,3.9221,-32.051,updown
1495479745893,2.4132,-0.091,-0.1262,1.8346,4.0331,-20.6549,updown
1495479745945,3.2565,-0.461,-0.1371,1.6896,2.8356,-6.2778,updown
1495479745993,2.7624,-0.6405,0.2095,1.5936,1.4883,-4.0536,updown
1495479746044,2.6755,-0.3761,0.0528,-0.1975,-0.4047,5.803,updown
1495479746094,0.7363,0.1865,0.1786,-1.9916,-2.2016,7.4124,updown
1495479746143,-0.9723,0.2982,-0.1335,-0.9225,-1.9785,4.5171,updown
1495479746193,-2.7942,0.3717,0.0231,0.6431,-0.6311,0.8466,updown
1495479746243,-3.2837,0.1949,0.3429,1.1381,3.0569,-9.4747,updown
1495479746293,-2.9295,0.034,0.3952,0.9318,4.1804,-17.6422,updown
1495479746345,-2.3766,-0.346,0.441,-0.3677,4.3042,-25.2413,updown
1495479746393,-0.6757,-0.1308,0.1563,-1.083,4.1126,-27.0062,updown
1495479746443,0.9638,0.3373,-0.0716,-0.3627,2.5238,-22.9672,updown
1495479746493,1.9574,0.2674,0.0291,1.2252,1.9634,-15.4689,updown
1495479746542,2.2685,0.0575,0.2222,0.1354,2.4895,-11.0855,updown
1495479746593,2.5073,-0.0806,0.18,0.3403,1.7901,-4.9208,updown
1495479746643,2.0816,-0.3563,-0.0752,-1.1861,0.9136,-2.7398,updown
1495479746693,1.2513,-0.2786,-0.2707,0.6199,-0.7946,3.2235,updown
1495479746743,0.235,0.0805,-0.1689,-0.2867,-1.5483,2.6313,updown
1495479746793,-1.1925,0.048,-0.1498,-0.2497,-1.569,1.0424,updown
1495479746843,-2.1812,-0.0394,-0.1723,0.3313,0.4435,-5.5723,updown
1495479746893,-2.3865,0.0238,-0.0626,2.1321,1.5806,-10.7556,updown
1495479746943,-2.3813,-0.0301,0.1037,1.3297,2.311,-15.2924,updown
1495479746993,-1.5806,-0.38,0.1152,0.3041,1.9428,-17.8165,updown
1495479747043,-0.9147,-0.1633,0.1794,0.2848,1.4018,-19.4467,updown
1495479747093,-0.2013,0.1062,0.0255,-0.991,2.456,-20.6174,updown
1495479747143,1.1225,0.2833,-0.0378,-0.1551,3.0909,-20.0719,updown
1495479747193,2.1171,0.2186,-0.1522,0.3598,2.5957,-14.4771,updown
1495479747243,2.556,0.0796,-0.0943,0.0435,2.0814,-10.4217,updown
