timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495479803952,0.2486,0.1613,0.0857,0.613,-0.6155,-9.1034,updown
1495479804003,0.0152,-0.1268,0.1419,0.7495,-0.4376,-10.1393,updown
1495479804052,-0.02,-0.0088,0.0115,1.2881,-0.4888,-9.6987,updown
1495479804103,0.0406,0.0185,0.0411,1.6886,-0.4429,-8.5553,updown
1495479804153,-0.3451,0.1103,0.1272,1.1731,0.4082,-9.6824,updown
1495479804203,-0.8614,0.2861,0.0433,0.7245,0.0752,-9.465,updown
1495479804253,-0.8143,-0.0417,0.012,0.7169,0.1667,-11.5143,updown
1495479804303,-0.1866,-0.5376,-0.2031,2.2443,0.1456,-12.8867,updown
1495479804352,-0.0389,-0.1425,-0.3214,-0.1091,-0.4504,-13.2836,updown
1495479804403,0.5514,-0.3977,-0.1714,0.4568,0.5163,-14.9726,updown
1495479804452,1.1016,-0.0384,-0.0858,0.0558,0.3922,-12.6385,updown
1495479804503,1.185,-0.4555,-0.2131,1.1266,0.2216,-14.8616,updown
1495479804553,2.1964,-0.1592,0.1559,1.1569,1.7384,-12.1016,updown
1495479804604,2.2784,-0.5937,0.0564,-0.5657,0.516,-4.1477,updown
1495479804653,1.5365,-0.7456,-0.0614,-1.813,-0.8165,-3.8875,updown
1495479804703,1.2766,0.1067,-0.1435,-0.5611,-1.9877,-0.2316,updown
1495479804753,-0.0072,-0.16,-0.1109,-0.4666,-2.9988,-0.1213,updown
1495479804803,-0.6399,0.1314,-0.0528,-0.5175,-3.0208,-2.8827,updown
1495479804852,-1.341,0.2084,-0.1251,0.5359,-2.747,-4.1446,updown
1495479804903,-1.7117,0.0836,0.0619,0.4044,-0.8814,-9.0603,updown
1495479804952,-1.5027,0.1845,0.1465,0.7473,-1.2593,-7.3095,updown
1495479805007,-2.1424,0.2297,0.2083,-0.2827,0.8549,-9.9702,updown
1495479805053,-1.7583,0.7385,0.2393,1.1453,1.1809,-12.9891,updown
1495479805109,-1.7285,0.3055,0.109,1.246,1.9212,-14.9451,updown
1495479805153,-1.3451,0.2441,0.1763,0.1737,2.1059,-15.0413,updown
1495479805206,-0.8089,0.2773,0.0304,1.2088,2.1086,-16.3066,updown
1495479805253,-0.279,-0.0548,0.1135,1.1878,2.0123,-15.7782,updown
1495479805305,0.812,0.0388,0.0296,0.8001,2.5464,-17.2432,updown
1495479805353,1.3139,-0.0816,0.1104,1.2495,2.2124,-14.5191,updown
1495479805404,1.7831,-0.0274,0.0409,0.5571,1.7797,-13.1227,updown
1495479805457,1.8153,0.1638,0.2026,1.0777,0.8305,-10.1132,updown
1495479805503,1.5385,-0.3457,0.193,-0.6571,0.4394,-10.2642,updown
1495479805553,1.7586,-0.3659,0.0505,1.1069,0.2345,-7.8138,updown
1495479805606,1.737,-0.3933,0.2357,-0.7321,0.0385,-6.6112,updown
1495479805653,1.4992,-0.2908,-0.0704,0.2215,-1.1492,-3.4008,updown
1495479805703,0.9861,-0.2141,-0.1114,-0.1491,-1.5644,-3.3756,updown
1495479805757,0.5773,-0.1419,-0.1484,1.1764,-2.7214,-1.1019,updown
