,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
18,1495525570879,0.7447379075253896,0.27838926348154147,0.7688180628843247,0.7061830333226256,0.5615103182159726,0.7068303444551279,rotateclockwise
19,1495525570929,0.7171166619704449,0.30018897181075654,0.7172416981282123,0.6145906997356911,0.5305607547864835,0.6591459043548511,rotateclockwise
20,1495525570979,0.5993153440832328,0.19785156734969345,0.5819892400453193,0.4218688765501711,0.42668751057066934,0.5246551817099475,rotateclockwise
21,1495525571028,0.4158515655169824,0.12086299547447055,0.38513258481301565,0.1782337659981227,0.27209720041180996,0.30696995842254615,rotateclockwise
22,1495525571078,0.19306491580931082,0.02017779875553677,0.16119903756738108,-0.05444226658326664,0.09633064588174323,0.07758469139346251,rotateclockwise
23,1495525571128,-0.0326553488925607,-0.04947256818134785,-0.05853352125036572,-0.2256589844885962,-0.08037027192985469,-0.1324426037884557,rotateclockwise
24,1495525571178,-0.23810969059971768,-0.1467382161993038,-0.24927506269272282,-0.3378687757662868,-0.2385119674904282,-0.2791089257753655,rotateclockwise
25,1495525571228,-0.40151900202985824,-0.21808170675910513,-0.39999849319646813,-0.37980751466674867,-0.3644883141593257,-0.37692789388991566,rotateclockwise
26,1495525571278,-0.5147646714273487,-0.2853019705141077,-0.5027071942185412,-0.3930613629836547,-0.44891798086474655,-0.42789726832679253,rotateclockwise
27,1495525571328,-0.5703236598805165,-0.34148079000732195,-0.5550858883726133,-0.38536111082408026,-0.4802378754387027,-0.433321557162598,rotateclockwise
28,1495525571379,-0.5679572001899098,-0.3445554593138768,-0.5552376096549843,-0.3577462172752764,-0.47148256470758293,-0.42274841342384845,rotateclockwise
29,1495525571430,-0.5132539387221795,-0.3556156298815153,-0.5015673444255863,-0.31153897710378536,-0.4148645867871552,-0.3690121962942354,rotateclockwise
30,1495525571478,-0.4111024394174923,-0.3576988810057328,-0.39987745584033907,-0.2299425430805124,-0.3261521718586379,-0.29354559607616215,rotateclockwise
31,1495525571528,-0.2773833196949097,-0.3064922393300363,-0.25926248433303123,-0.12240539384871879,-0.23053452472714467,-0.20955347770842397,rotateclockwise
32,1495525571579,-0.12343478441181906,-0.3091802070828058,-0.09604384276444054,-0.0048067632257990595,-0.12188462572631521,-0.09451995150510747,rotateclockwise
33,1495525571628,0.04192681753847928,-0.19746279368937378,0.07148125830063247,0.1342345290534463,-0.0049946835106736255,0.030211090314824027,rotateclockwise
34,1495525571678,0.20096771011581502,-0.1437222579069714,0.2190081268499622,0.24094282367365075,0.11099041670742096,0.16160878714952628,rotateclockwise
35,1495525571728,0.3344518462995549,-0.053255652206247464,0.33521641818202585,0.3120277644548321,0.20052138134301234,0.27964457928541836,rotateclockwise
36,1495525571778,0.4272793766420802,0.005944509649681458,0.40569222558150364,0.32395032181114164,0.2583235974578163,0.34307221747507843,rotateclockwise
37,1495525571828,0.47396470477422553,0.020330091841576255,0.4323154945639968,0.29048510586557214,0.28878615094323795,0.37543858733543695,rotateclockwise
