timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495562611358,-0.036,-0.0688,0.0093,0.4982,-1.4613,-9.6569,rotateclockwise
1495562611407,0.0445,0.0116,-0.0083,0.6664,-1.5307,-9.3579,rotateclockwise
1495562611458,0.0167,-0.013,-0.0019,0.5298,-1.5312,-9.5574,rotateclockwise
1495562611507,-0.0206,0.0192,0.0117,0.6698,-1.4958,-9.5352,rotateclockwise
1495562611557,0.0252,-0.0206,-0.0065,0.6074,-1.5526,-9.5912,rotateclockwise
1495562611607,0.0149,0.0098,-0.0079,0.6615,-1.5748,-9.6065,rotateclockwise
1495562611658,0.027,0.0235,-0.0031,0.585,-1.5571,-9.4777,rotateclockwise
1495562611707,-0.0179,0.0027,-0.0051,0.7259,-1.5434,-9.4165,rotateclockwise
1495562611757,0.0011,0.0107,-0.0047,0.6718,-1.5627,-9.6317,rotateclockwise
1495562611808,-0.0337,-0.0162,-0.0094,0.6646,-1.535,-9.8578,rotateclockwise
1495562611858,0.0475,0.0247,0.0026,0.65,-1.5432,-9.3984,rotateclockwise
1495562611907,-0.0393,0.0041,-0.0122,0.6443,-1.5824,-9.6814,rotateclockwise
1495562611957,0.0481,0.0208,0.0024,0.6045,-1.5197,-9.2846,rotateclockwise
1495562612008,-0.0642,-0.0161,-0.0129,0.6143,-1.5922,-9.7393,rotateclockwise
1495562612057,0.0831,0.0061,-0.0226,0.6884,-1.5921,-9.4674,rotateclockwise
1495562612108,-0.004,-0.0113,-0.012,0.5903,-1.5784,-9.4397,rotateclockwise
1495562612157,-0.0347,-0.0238,-0.0095,0.6285,-1.5428,-9.6864,rotateclockwise
1495562612208,0.0413,0.0392,0.0028,0.5881,-1.5487,-9.4276,rotateclockwise
1495562612258,-0.0279,0.0104,-0.0131,0.6808,-1.5964,-9.6663,rotateclockwise
1495562612308,-0.0127,0.0078,-0.0051,0.6676,-1.5919,-9.6565,rotateclockwise
1495562612357,0.0331,-0.0258,-0.0069,0.607,-1.5627,-9.4392,rotateclockwise
1495562612407,-0.0226,0.0047,-0.0141,0.6257,-1.5711,-9.784,rotateclockwise
1495562612457,0.0226,0.009,-0.0036,0.4485,-1.501,-9.3891,rotateclockwise
1495562612507,-0.033,-0.0202,-0.0001,0.6544,-1.6327,-9.5197,rotateclockwise
1495562612558,0.0061,0.0296,-0.0038,0.6178,-1.5345,-9.736,rotateclockwise
1495562612608,-0.0196,0.0132,0.0023,0.6968,-1.6285,-9.4404,rotateclockwise
1495562612657,0.0093,0.0099,-0.0027,0.6189,-1.5602,-9.7768,rotateclockwise
1495562612707,-0.0032,0.0048,-0.0043,0.6719,-1.6251,-9.5419,rotateclockwise
1495562612757,0.0235,0.0162,0.0111,0.5337,-1.549,-9.4645,rotateclockwise
1495562612808,-0.0121,0.0043,0.0001,0.6399,-1.6285,-9.6562,rotateclockwise
1495562612858,0.0271,0.0159,0.0096,0.6107,-1.5914,-9.4162,rotateclockwise
1495562612907,0.0138,0.0178,-0.0065,0.666,-1.5558,-9.5454,rotateclockwise
1495562612958,-0.0215,0.0125,0.0022,0.6003,-1.5834,-9.279,rotateclockwise
1495562613007,0.0539,0.0152,-0.0046,0.6625,-1.594,-9.8786,rotateclockwise
1495562613057,-0.0032,-0.0087,0.0058,0.685,-1.5819,-9.4115,rotateclockwise
1495562613107,0.0341,-0.005,0.0065,0.6551,-1.6023,-9.4658,rotateclockwise
1495562613158,-0.0203,0.031,-0.0084,0.6715,-1.585,-9.7139,rotateclockwise
1495562613209,-0.0314,0.0069,0,0.6802,-1.6102,-9.5001,rotateclockwise
1495562613258,0.0379,0.0262,0.0069,0.7538,-1.6184,-9.425,rotateclockwise
1495562613308,-0.0347,-0.0018,-0.0056,0.6873,-1.6201,-9.6222,rotateclockwise
1495562613420,-0.012,-0.0482,-0.0124,0.6888,-1.6294,-9.8132,rotateclockwise
