timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495562616608,0.0011,0.0017,-0.0011,0.1511,0.078,-9.7453,rotateclockwise
1495562616658,0.0002,-0.0023,0.0003,0.1432,0.088,-9.7254,rotateclockwise
1495562616708,-0.0005,0.0004,0.0015,0.1472,0.0673,-9.7222,rotateclockwise
1495562616758,0.0004,-0.0002,0.0005,0.1396,0.0513,-9.7555,rotateclockwise
1495562616808,0.0001,0.0002,-0.0009,0.1469,0.0614,-9.7474,rotateclockwise
1495562616859,-0.0005,-0.0001,-0.0002,0.1449,0.0625,-9.7423,rotateclockwise
1495562616909,-0.0003,0.0008,0.0002,0.1348,0.0746,-9.7295,rotateclockwise
1495562616959,-0.0005,-0.0008,0.0009,0.1361,0.0686,-9.743,rotateclockwise
1495562617009,-0.0001,0,0.0005,0.1324,0.0783,-9.7346,rotateclockwise
1495562617059,0.0005,-0.0004,-0.0002,0.1486,0.071,-9.7276,rotateclockwise
1495562617108,0.0007,-0.0005,0.0006,0.1378,0.0574,-9.7534,rotateclockwise
1495562617158,0.0004,-0.0017,0,0.14,0.063,-9.7471,rotateclockwise
1495562617208,-0.0002,-0.0008,-0.0007,0.1378,0.0664,-9.7271,rotateclockwise
1495562617258,0.0007,0.0002,0.0009,0.1299,0.0629,-9.7413,rotateclockwise
1495562617308,-0.0002,0.0001,0.0007,0.1481,0.0506,-9.7411,rotateclockwise
1495562617358,0,-0.0002,0.0003,0.1532,0.0621,-9.7238,rotateclockwise
1495562617408,-0.0005,0.0007,0.0002,0.1456,0.0702,-9.7251,rotateclockwise
1495562617458,0.0001,-0.0002,-0.0003,0.1477,0.0717,-9.7232,rotateclockwise
1495562617508,0.0007,-0.0002,0.0003,0.1356,0.0656,-9.7418,rotateclockwise
1495562617558,0.0001,-0.0018,0.0003,0.1498,0.0563,-9.723,rotateclockwise
1495562617608,-0.0005,0.0011,-0.0009,0.1664,0.0443,-9.7178,rotateclockwise
1495562617662,0.0001,0.0005,0.0003,0.1453,0.0654,-9.7257,rotateclockwise
1495562617708,0.0002,0.0013,0.0011,0.1438,0.0566,-9.7379,rotateclockwise
1495562617758,0.0007,-0.0002,0.0013,0.1515,0.0688,-9.7203,rotateclockwise
1495562617808,0.0007,0.0003,0.0009,0.162,0.0461,-9.7143,rotateclockwise
1495562617858,-0.0002,-0.0002,-0.0006,0.1573,0.0584,-9.7176,rotateclockwise
1495562617909,-0.0003,0.0002,0.0004,0.1645,0.0664,-9.7135,rotateclockwise
1495562617958,0.0002,-0.0001,-0.0006,0.1576,0.0608,-9.7257,rotateclockwise
1495562618008,0.0009,-0.0004,0.0001,0.1563,0.056,-9.7043,rotateclockwise
1495562618058,0.0001,0.0004,0.0009,0.153,0.0563,-9.7217,rotateclockwise
1495562618108,0.0007,0.0003,-0.0013,0.1501,0.0698,-9.7225,rotateclockwise
1495562618158,-0.0002,-0.0002,0.0003,0.166,0.0643,-9.7075,rotateclockwise
1495562618208,-0.0005,0.001,0.0003,0.1491,0.0575,-9.7147,rotateclockwise
1495562618258,-0.0003,-0.0002,0.0003,0.1656,0.0518,-9.7062,rotateclockwise
1495562618308,0,-0.0007,-0.0002,0.1431,0.0654,-9.6834,rotateclockwise
1495562618358,-0.0005,0.0009,0.0006,0.1654,0.051,-9.7125,rotateclockwise
1495562618408,-0.0014,0.0002,0.0014,0.1515,0.0568,-9.7092,rotateclockwise
1495562618458,-0.0001,0,0.0005,0.1606,0.0651,-9.7101,rotateclockwise
1495562618508,-0.0004,0.0002,0.0001,0.1539,0.0587,-9.7201,rotateclockwise
1495562618559,0.0007,-0.0019,-0.0003,0.1493,0.0623,-9.6989,rotateclockwise
1495562618608,0.0004,-0.0002,0.0006,0.1656,0.065,-9.7073,rotateclockwise
1495562618658,0.0003,-0.0008,0.0003,0.1563,0.0558,-9.7045,rotateclockwise
1495562618709,-0.0005,-0.0007,-0.0001,0.1689,0.063,-9.7007,rotateclockwise
1495562618759,-0.0008,0.0007,-0.0005,0.1518,0.0661,-9.7038,rotateclockwise
1495562618808,-0.001,-0.0012,-0.0002,0.163,0.0577,-9.7088,rotateclockwise
1495562618858,0,0.0005,0.0004,0.1493,0.0576,-9.6967,rotateclockwise
1495562618908,-0.0001,-0.0018,0.001,0.1517,0.0426,-9.6949,rotateclockwise
1495562618958,0.0001,-0.0013,0.0014,0.1577,0.0635,-9.7218,rotateclockwise
1495562619008,-0.0011,-0.0002,0.0003,0.1628,0.0504,-9.7028,rotateclockwise
1495562619059,0.0005,-0.0003,-0.0003,0.1671,0.0599,-9.7083,rotateclockwise
1495562619108,0.0001,0,-0.0007,0.152,0.0414,-9.6919,rotateclockwise
1495562619197,-0.0003,-0.0071,-0.0006,0.1334,0.0748,-9.7631,rotateclockwise
