timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495562606556,0.0513,0.08,0.0125,-0.8419,-0.9102,-9.2958,rotateclockwise
1495562606607,0.0008,0.0305,0.0061,-0.6872,-0.6855,-9.5411,rotateclockwise
1495562606656,-0.1087,0.0699,0.0543,-0.6872,-0.7776,-9.3094,rotateclockwise
1495562606708,-0.0422,0.069,0.0367,-0.8047,-0.6321,-9.9343,rotateclockwise
1495562606757,-0.0027,0.0412,0.0115,-0.8188,-0.7257,-9.9203,rotateclockwise
1495562606807,-0.0023,0.0098,0.008,-0.7736,-0.6754,-9.4996,rotateclockwise
1495562606857,-0.0802,0.0599,0.0674,-0.7355,-0.8335,-9.4723,rotateclockwise
1495562606907,-0.0961,0.0402,0.0667,-0.6795,-0.6417,-9.623,rotateclockwise
1495562606957,-0.1407,0.0145,0.0293,-0.7589,-0.5167,-9.9088,rotateclockwise
1495562607006,-0.0345,0.0058,0.032,-0.6753,-0.5828,-9.8515,rotateclockwise
1495562607057,-0.0176,0.0023,0.0034,-0.5667,-0.4799,-9.6115,rotateclockwise
1495562607106,-0.1217,-0.0167,0.0313,-0.6177,-0.4962,-9.5793,rotateclockwise
1495562607156,-0.0829,-0.0247,0.011,-0.7396,-0.3461,-9.5298,rotateclockwise
1495562607207,-0.1093,-0.0566,-0.0027,-0.7207,-0.4229,-9.8828,rotateclockwise
1495562607257,-0.0041,-0.0028,-0.0093,-0.7578,-0.3749,-9.8184,rotateclockwise
1495562607307,0.0039,-0.0008,-0.0144,-0.7075,-0.3647,-9.6205,rotateclockwise
1495562607357,-0.0536,-0.0294,0.0007,-0.6881,-0.3396,-9.7182,rotateclockwise
1495562607407,-0.0483,-0.0262,-0.0092,-0.7178,-0.3488,-9.7138,rotateclockwise
1495562607458,-0.0591,-0.0307,0.0017,-0.7757,-0.2769,-9.5833,rotateclockwise
1495562607507,-0.0056,-0.026,-0.0097,-0.6842,-0.3347,-9.7909,rotateclockwise
1495562607556,-0.0079,-0.0219,-0.0161,-0.7457,-0.2748,-9.7747,rotateclockwise
1495562607606,0.0684,0.0002,-0.0263,-0.7938,-0.2782,-9.7138,rotateclockwise
1495562607656,0.1608,0.0362,-0.0351,-0.7388,-0.3477,-9.7445,rotateclockwise
1495562607707,0.0659,-0.0275,-0.0273,-0.8328,-0.451,-9.4582,rotateclockwise
1495562607757,0.1268,0.0486,-0.0222,-0.8276,-0.5331,-9.619,rotateclockwise
1495562607807,0.0922,0.0685,-0.0144,-0.7872,-0.4745,-9.5432,rotateclockwise
1495562607857,0.0865,0.0037,-0.0283,-0.6742,-0.6061,-9.7528,rotateclockwise
1495562607907,0.0892,0.0827,-0.0054,-0.6358,-0.6362,-9.3027,rotateclockwise
1495562607957,0.0317,0.0542,0.0005,-0.6964,-0.6609,-9.7649,rotateclockwise
1495562608007,0.0109,0.0326,0.0062,-0.5828,-0.6391,-9.5168,rotateclockwise
1495562608057,0.0409,0.0754,0.0076,-0.6214,-0.7065,-9.6341,rotateclockwise
1495562608107,0.0261,0.0458,0.0054,-0.4779,-0.6784,-9.6587,rotateclockwise
1495562608157,0.0441,0.0529,0.0017,-0.5903,-0.7413,-9.6865,rotateclockwise
1495562608280,0.0243,-0.0829,-0.0095,-0.4995,-0.6119,-9.591,rotateclockwise
