,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
15,1496232987461,0.8977358844287672,0.667720974126131,0.3146470429072279,0.695879334353818,0.6298827030750564,0.864225097068249,updown
16,1496232987511,0.7004333112907553,0.5198357607052025,0.16687098881543339,0.5371271783823255,0.40265205013606326,0.6546389467508131,updown
17,1496232987561,0.37241233832007364,0.2600672436945674,-0.026882157807255464,0.2793985398071711,0.0948210402393417,0.32601731516668825,updown
18,1496232987611,-0.014632501315912783,-0.04310589925016392,-0.12493706426318867,0.0388402220668656,-0.12341841671125987,-0.0434918545681066,updown
19,1496232987661,-0.3863414914581929,-0.25926133718090616,-0.21318596092449596,-0.2425062499929796,-0.26132523227338955,-0.3904170197390188,updown
20,1496232987711,-0.6863101101182597,-0.4595327330694485,-0.25935444859042994,-0.47958175840560163,-0.33279682711986336,-0.6592481354342267,updown
21,1496232987761,-0.8471644669563416,-0.5189657799837449,-0.2900813342796675,-0.6061521445308999,-0.3692613122025773,-0.7959581584288297,updown
22,1496232987812,-0.8503428556771713,-0.5528240922404934,-0.31251368506514754,-0.6261931072213988,-0.3395958380420137,-0.7957108010205488,updown
23,1496232987862,-0.6992582021345537,-0.48653673477846954,-0.31200416292587874,-0.5459490479971376,-0.29098704520768665,-0.6535258607037744,updown
24,1496232987911,-0.4120714545707092,-0.3606786544311442,-0.19543653534516062,-0.3805249548652525,-0.22749593109597374,-0.3919748530019595,updown
25,1496232987961,-0.06504535597575295,-0.16855525111527636,-0.046830184738864154,-0.10416503014343766,-0.12013101768416,-0.051424986287874744,updown
26,1496232988011,0.2995826681421583,0.06910199207664101,0.15712784349116274,0.15769561404921031,0.049581810847850266,0.2999139640738194,updown
27,1496232988062,0.5919966189953055,0.3482830912435669,0.23634949792913884,0.3745886971883631,0.22623540714835969,0.5803857594173043,updown
28,1496232988111,0.7713607861293094,0.5186559214215261,0.27075662269839806,0.5292331700736023,0.3697576092238432,0.7495235785632817,updown
29,1496232988161,0.8040016728631288,0.6335641638694113,0.22410892462572735,0.5989327467155311,0.4308849935969996,0.764699819935241,updown
